county,date,confirmed_patients,suspected_patients,total_covid_patients
San Benito,4/1/2020,2,0,2
Colusa,4/1/2020,0,1,1
San Bernardino,4/1/2020,95,196,291
Stanislaus,4/1/2020,25,39,64
Amador,4/1/2020,0,3,3
Kings,4/1/2020,2,6,8
Inyo,4/1/2020,7,89,96
Glenn,4/1/2020,0,0,0
Calaveras,4/1/2020,0,1,1
Mariposa,4/1/2020,0,0,0
Lake,4/1/2020,0,2,2
Shasta,4/1/2020,1,4,5
Del Norte,4/1/2020,0,5,5
Humboldt,4/1/2020,1,9,10
Tulare,4/1/2020,4,12,16
Los Angeles,4/1/2020,739,1332,2071
Plumas,4/1/2020,0,0,0
San Diego,4/1/2020,168,340,508
Orange,4/1/2020,117,221,338
Contra Costa,4/1/2020,31,42,73
Modoc,4/1/2020,0,1,1
Riverside,4/1/2020,85,182,267
El Dorado,4/1/2020,14,8,22
San Mateo,4/1/2020,57,35,92
Kern,4/1/2020,15,45,60
San Francisco,4/1/2020,67,66,133
Mono,4/1/2020,0,0,0
Trinity,4/1/2020,0,0,0
Marin,4/1/2020,9,19,28
Merced,4/1/2020,3,15,18
Butte,4/1/2020,5,33,38
San Luis Obispo,4/1/2020,8,10,18
Yolo,4/1/2020,3,3,6
Santa Barbara,4/1/2020,23,23,46
Ventura,4/1/2020,22,96,118
Sonoma,4/1/2020,5,18,23
Sutter,4/1/2020,0,0,0
Alameda,4/1/2020,52,76,128
Santa Cruz,4/1/2020,2,12,14
Monterey,4/1/2020,13,16,29
Yuba,4/1/2020,2,24,26
Santa Clara,4/1/2020,160,85,245
Nevada,4/1/2020,36,54,90
Solano,4/1/2020,14,18,32
Sacramento,4/1/2020,53,138,191
Tuolumne,4/1/2020,0,0,0
San Joaquin,4/1/2020,25,35,60
Mendocino,4/1/2020,0,2,2
Fresno,4/1/2020,19,101,120
Placer,4/2/2020,32,15,47
Solano,4/2/2020,15,8,23
Fresno,4/2/2020,17,74,91
Marin,4/2/2020,7,16,23
Riverside,4/2/2020,136,181,317
Santa Barbara,4/2/2020,26,44,70
Mariposa,4/2/2020,0,1,1
Tehama,4/2/2020,0,1,1
Trinity,4/2/2020,0,0,0
Lassen,4/2/2020,0,7,7
Napa,4/2/2020,1,4,5
Los Angeles,4/2/2020,818,1270,2088
Humboldt,4/2/2020,1,8,9
Santa Clara,4/2/2020,163,101,264
San Mateo,4/2/2020,62,40,102
Siskiyou,4/2/2020,0,3,3
Glenn,4/2/2020,0,0,0
Sacramento,4/2/2020,71,92,163
Mono,4/2/2020,18,2,20
Del Norte,4/2/2020,0,3,3
Madera,4/2/2020,1,7,8
Tuolumne,4/2/2020,0,0,0
San Francisco,4/2/2020,75,60,135
El Dorado,4/2/2020,15,12,27
Calaveras,4/2/2020,0,1,1
Tulare,4/2/2020,4,26,30
Plumas,4/2/2020,0,0,0
Alameda,4/2/2020,57,76,133
San Luis Obispo,4/2/2020,5,5,10
Lake,4/2/2020,0,1,1
Contra Costa,4/2/2020,32,38,70
Modoc,4/2/2020,0,1,1
Yolo,4/2/2020,3,2,5
Monterey,4/2/2020,14,14,28
Ventura,4/2/2020,27,111,138
Butte,4/2/2020,4,26,30
Imperial,4/2/2020,4,16,20
Sonoma,4/2/2020,8,18,26
Santa Cruz,4/2/2020,4,4,8
Inyo,4/2/2020,8,102,110
Amador,4/2/2020,0,3,3
Yuba,4/2/2020,2,25,27
San Diego,4/2/2020,144,343,487
Orange,4/2/2020,129,225,354
San Benito,4/2/2020,2,0,2
Shasta,4/2/2020,2,4,6
San Bernardino,4/2/2020,126,185,311
Merced,4/2/2020,4,5,9
Kings,4/2/2020,2,6,8
Sutter,4/2/2020,0,0,0
Kern,4/2/2020,27,77,104
Stanislaus,4/2/2020,30,43,73
Colusa,4/2/2020,0,1,1
Nevada,4/2/2020,38,58,96
Mendocino,4/2/2020,0,1,1
San Joaquin,4/2/2020,42,42,84
Tulare,4/3/2020,6,15,21
Plumas,4/3/2020,0,0,0
Kings,4/3/2020,0,3,3
Tuolumne,4/3/2020,0,0,0
Mendocino,4/3/2020,0,5,5
Santa Clara,4/3/2020,164,83,247
Contra Costa,4/3/2020,31,39,70
Madera,4/3/2020,0,5,5
Humboldt,4/3/2020,1,7,8
San Mateo,4/3/2020,65,39,104
Stanislaus,4/3/2020,28,45,73
Orange,4/3/2020,131,182,313
Ventura,4/3/2020,22,116,138
Fresno,4/3/2020,15,81,96
Mariposa,4/3/2020,0,2,2
Napa,4/3/2020,1,9,10
San Bernardino,4/3/2020,118,204,322
Yuba,4/3/2020,2,12,14
Tehama,4/3/2020,0,0,0
Los Angeles,4/3/2020,962,1239,2201
Butte,4/3/2020,3,19,22
Inyo,4/3/2020,8,102,110
Kern,4/3/2020,35,73,108
Glenn,4/3/2020,0,0,0
Solano,4/3/2020,16,21,37
Sacramento,4/3/2020,77,76,153
Santa Cruz,4/3/2020,4,8,12
Alameda,4/3/2020,64,74,138
Placer,4/3/2020,21,23,44
Lassen,4/3/2020,0,3,3
Imperial,4/3/2020,9,7,16
Del Norte,4/3/2020,0,2,2
Merced,4/3/2020,4,5,9
Trinity,4/3/2020,0,0,0
Riverside,4/3/2020,105,182,287
Colusa,4/3/2020,1,0,1
San Joaquin,4/3/2020,41,38,79
San Francisco,4/3/2020,80,71,151
Sonoma,4/3/2020,6,24,30
El Dorado,4/3/2020,15,9,24
Monterey,4/3/2020,16,18,34
Modoc,4/3/2020,0,0,0
Amador,4/3/2020,0,0,0
Santa Barbara,4/3/2020,27,29,56
Shasta,4/3/2020,2,9,11
Calaveras,4/3/2020,0,1,1
San Luis Obispo,4/3/2020,4,5,9
Yolo,4/3/2020,2,7,9
Lake,4/3/2020,0,2,2
Sutter,4/3/2020,0,0,0
San Diego,4/3/2020,171,308,479
Siskiyou,4/3/2020,0,3,3
Nevada,4/3/2020,2,4,6
Mono,4/3/2020,18,2,20
Marin,4/3/2020,6,16,22
San Benito,4/3/2020,2,0,2
Mariposa,4/4/2020,0,2,2
San Luis Obispo,4/4/2020,4,6,10
Napa,4/4/2020,1,8,9
Yuba,4/4/2020,2,16,18
Yolo,4/4/2020,4,5,9
Tehama,4/4/2020,0,1,1
Riverside,4/4/2020,126,186,312
Madera,4/4/2020,0,4,4
Calaveras,4/4/2020,0,1,1
Sutter,4/4/2020,0,0,0
Alameda,4/4/2020,60,95,155
San Benito,4/4/2020,2,3,5
Nevada,4/4/2020,2,6,8
Siskiyou,4/4/2020,0,2,2
Monterey,4/4/2020,16,25,41
Santa Clara,4/4/2020,159,79,238
Marin,4/4/2020,5,16,21
Amador,4/4/2020,0,0,0
Contra Costa,4/4/2020,30,47,77
Ventura,4/4/2020,21,127,148
Sonoma,4/4/2020,7,16,23
Mono,4/4/2020,20,2,22
Solano,4/4/2020,16,19,35
Mendocino,4/4/2020,0,3,3
Tuolumne,4/4/2020,0,1,1
Modoc,4/4/2020,0,0,0
San Joaquin,4/4/2020,43,30,73
Santa Cruz,4/4/2020,4,6,10
Lassen,4/4/2020,0,0,0
Butte,4/4/2020,3,14,17
Del Norte,4/4/2020,0,2,2
Sacramento,4/4/2020,69,76,145
San Mateo,4/4/2020,66,19,85
Santa Barbara,4/4/2020,28,34,62
Plumas,4/4/2020,0,0,0
Kings,4/4/2020,1,9,10
Trinity,4/4/2020,0,0,0
Stanislaus,4/4/2020,30,45,75
Colusa,4/4/2020,1,0,1
Imperial,4/4/2020,9,10,19
Inyo,4/4/2020,8,106,114
Merced,4/4/2020,5,14,19
San Diego,4/4/2020,177,218,395
El Dorado,4/4/2020,15,9,24
Tulare,4/4/2020,8,20,28
San Bernardino,4/4/2020,138,254,392
Orange,4/4/2020,143,213,356
Glenn,4/4/2020,0,0,0
Lake,4/4/2020,0,4,4
Placer,4/4/2020,23,14,37
Humboldt,4/4/2020,1,4,5
Fresno,4/4/2020,14,93,107
Shasta,4/4/2020,2,10,12
Kern,4/4/2020,33,54,87
San Francisco,4/4/2020,80,65,145
Los Angeles,4/4/2020,1007,1190,2197
Mono,4/5/2020,20,2,22
Tuolumne,4/5/2020,0,0,0
Sonoma,4/5/2020,6,21,27
San Mateo,4/5/2020,69,15,84
Solano,4/5/2020,15,17,32
Lassen,4/5/2020,0,0,0
Tulare,4/5/2020,4,20,24
Mendocino,4/5/2020,0,3,3
Riverside,4/5/2020,129,207,336
Alameda,4/5/2020,72,87,159
San Francisco,4/5/2020,79,68,147
Calaveras,4/5/2020,0,0,0
Kings,4/5/2020,3,1,4
Mariposa,4/5/2020,0,2,2
Nevada,4/5/2020,2,4,6
San Luis Obispo,4/5/2020,2,11,13
Inyo,4/5/2020,9,106,115
Yolo,4/5/2020,3,6,9
San Diego,4/5/2020,179,220,399
Contra Costa,4/5/2020,29,35,64
Glenn,4/5/2020,0,0,0
Orange,4/5/2020,144,221,365
Los Angeles,4/5/2020,1094,1082,2176
Marin,4/5/2020,5,15,20
Madera,4/5/2020,0,1,1
Butte,4/5/2020,2,16,18
Santa Cruz,4/5/2020,5,12,17
El Dorado,4/5/2020,16,6,22
Sutter,4/5/2020,0,0,0
Napa,4/5/2020,1,8,9
Imperial,4/5/2020,9,9,18
Plumas,4/5/2020,0,0,0
Siskiyou,4/5/2020,0,2,2
Modoc,4/5/2020,0,0,0
Monterey,4/5/2020,16,15,31
Del Norte,4/5/2020,0,1,1
San Bernardino,4/5/2020,146,240,386
Fresno,4/5/2020,16,81,97
Shasta,4/5/2020,8,11,19
Trinity,4/5/2020,0,0,0
Merced,4/5/2020,15,10,25
Lake,4/5/2020,0,4,4
San Joaquin,4/5/2020,46,24,70
Stanislaus,4/5/2020,30,25,55
Placer,4/5/2020,23,13,36
Amador,4/5/2020,0,0,0
Ventura,4/5/2020,21,128,149
Kern,4/5/2020,23,27,50
Tehama,4/5/2020,0,1,1
Sacramento,4/5/2020,64,78,142
Santa Clara,4/5/2020,166,69,235
Humboldt,4/5/2020,2,3,5
San Benito,4/5/2020,3,0,3
Santa Barbara,4/5/2020,31,26,57
Colusa,4/5/2020,1,0,1
Yuba,4/5/2020,1,14,15
Inyo,4/6/2020,9,114,123
San Joaquin,4/6/2020,31,32,63
Alameda,4/6/2020,79,70,149
Yuba,4/6/2020,1,19,20
Yolo,4/6/2020,4,0,4
Colusa,4/6/2020,0,0,0
Modoc,4/6/2020,0,0,0
San Mateo,4/6/2020,68,20,88
Fresno,4/6/2020,18,81,99
Plumas,4/6/2020,0,0,0
San Benito,4/6/2020,3,3,6
Santa Barbara,4/6/2020,34,26,60
Solano,4/6/2020,15,21,36
Riverside,4/6/2020,129,193,322
San Luis Obispo,4/6/2020,2,3,5
Tulare,4/6/2020,12,24,36
Del Norte,4/6/2020,0,3,3
Tuolumne,4/6/2020,0,0,0
Merced,4/6/2020,4,2,6
Stanislaus,4/6/2020,28,28,56
Los Angeles,4/6/2020,1166,1070,2236
Ventura,4/6/2020,22,106,128
Calaveras,4/6/2020,0,0,0
Kings,4/6/2020,3,3,6
Sutter,4/6/2020,0,0,0
Santa Cruz,4/6/2020,5,9,14
Shasta,4/6/2020,6,3,9
Sonoma,4/6/2020,6,18,24
Imperial,4/6/2020,9,14,23
Monterey,4/6/2020,16,15,31
Amador,4/6/2020,0,0,0
Lake,4/6/2020,0,8,8
Napa,4/6/2020,0,7,7
Sacramento,4/6/2020,77,78,155
Butte,4/6/2020,1,15,16
San Francisco,4/6/2020,80,71,151
Siskiyou,4/6/2020,0,0,0
Mendocino,4/6/2020,0,2,2
Lassen,4/6/2020,0,0,0
Mono,4/6/2020,20,2,22
Contra Costa,4/6/2020,30,28,58
San Bernardino,4/6/2020,148,185,333
Humboldt,4/6/2020,3,12,15
Santa Clara,4/6/2020,181,49,230
Placer,4/6/2020,20,12,32
Madera,4/6/2020,0,2,2
Trinity,4/6/2020,0,0,0
Tehama,4/6/2020,0,0,0
El Dorado,4/6/2020,16,1,17
Kern,4/6/2020,24,36,60
San Diego,4/6/2020,187,224,411
Mariposa,4/6/2020,0,3,3
Marin,4/6/2020,8,8,16
Glenn,4/6/2020,0,0,0
Orange,4/6/2020,145,171,316
Nevada,4/6/2020,1,5,6
San Luis Obispo,4/7/2020,2,5,7
Sacramento,4/7/2020,74,91,165
Santa Clara,4/7/2020,187,47,234
Mono,4/7/2020,20,2,22
Imperial,4/7/2020,9,14,23
Ventura,4/7/2020,22,68,90
Calaveras,4/7/2020,0,1,1
Madera,4/7/2020,0,3,3
Inyo,4/7/2020,9,121,130
Trinity,4/7/2020,0,0,0
Colusa,4/7/2020,0,0,0
Plumas,4/7/2020,0,1,1
Sutter,4/7/2020,0,0,0
Merced,4/7/2020,3,3,6
Napa,4/7/2020,0,5,5
Kern,4/7/2020,28,91,119
Tulare,4/7/2020,8,23,31
Riverside,4/7/2020,129,207,336
Glenn,4/7/2020,0,0,0
San Mateo,4/7/2020,63,13,76
Sonoma,4/7/2020,6,28,34
Marin,4/7/2020,6,5,11
Nevada,4/7/2020,1,4,5
Santa Barbara,4/7/2020,41,8,49
El Dorado,4/7/2020,16,2,18
San Diego,4/7/2020,203,124,327
Orange,4/7/2020,143,144,287
Mariposa,4/7/2020,0,3,3
Tuolumne,4/7/2020,0,0,0
Tehama,4/7/2020,0,1,1
Placer,4/7/2020,19,18,37
Alameda,4/7/2020,76,84,160
Shasta,4/7/2020,5,8,13
Monterey,4/7/2020,18,25,43
Lassen,4/7/2020,0,1,1
Mendocino,4/7/2020,0,2,2
Lake,4/7/2020,0,0,0
Fresno,4/7/2020,20,82,102
San Bernardino,4/7/2020,146,178,324
Del Norte,4/7/2020,0,3,3
Yolo,4/7/2020,2,3,5
San Benito,4/7/2020,3,3,6
Siskiyou,4/7/2020,0,1,1
Santa Cruz,4/7/2020,4,4,8
Butte,4/7/2020,1,14,15
Humboldt,4/7/2020,2,7,9
San Francisco,4/7/2020,88,116,204
Kings,4/7/2020,3,4,7
Contra Costa,4/7/2020,31,38,69
Modoc,4/7/2020,0,1,1
San Joaquin,4/7/2020,31,33,64
Solano,4/7/2020,14,24,38
Amador,4/7/2020,0,0,0
Los Angeles,4/7/2020,1251,1350,2601
Yuba,4/7/2020,2,25,27
Stanislaus,4/7/2020,28,40,68
San Benito,4/8/2020,2,0,2
San Diego,4/8/2020,225,103,328
Santa Cruz,4/8/2020,4,9,13
Calaveras,4/8/2020,0,2,2
Merced,4/8/2020,1,1,2
Los Angeles,4/8/2020,1331,1077,2408
Santa Clara,4/8/2020,156,34,190
Imperial,4/8/2020,16,7,23
Yolo,4/8/2020,2,7,9
Sutter,4/8/2020,0,0,0
Sonoma,4/8/2020,6,22,28
Marin,4/8/2020,5,3,8
San Joaquin,4/8/2020,32,19,51
Colusa,4/8/2020,0,0,0
Mariposa,4/8/2020,0,0,0
Sacramento,4/8/2020,76,81,157
Modoc,4/8/2020,0,0,0
Nevada,4/8/2020,2,7,9
Madera,4/8/2020,0,6,6
Monterey,4/8/2020,18,24,42
Stanislaus,4/8/2020,30,35,65
Contra Costa,4/8/2020,35,50,85
Tehama,4/8/2020,0,2,2
Santa Barbara,4/8/2020,42,18,60
San Mateo,4/8/2020,66,20,86
San Luis Obispo,4/8/2020,2,13,15
Tuolumne,4/8/2020,0,0,0
Kings,4/8/2020,2,8,10
Fresno,4/8/2020,22,63,85
Ventura,4/8/2020,18,73,91
Alameda,4/8/2020,84,69,153
Placer,4/8/2020,18,15,33
Shasta,4/8/2020,4,5,9
Inyo,4/8/2020,9,128,137
Trinity,4/8/2020,0,0,0
Yuba,4/8/2020,2,24,26
Amador,4/8/2020,0,0,0
Napa,4/8/2020,0,7,7
Orange,4/8/2020,153,181,334
Lassen,4/8/2020,0,1,1
San Bernardino,4/8/2020,132,301,433
Butte,4/8/2020,1,15,16
El Dorado,4/8/2020,16,3,19
Riverside,4/8/2020,149,145,294
Lake,4/8/2020,0,0,0
Humboldt,4/8/2020,2,3,5
Kern,4/8/2020,31,57,88
Mono,4/8/2020,19,8,27
Del Norte,4/8/2020,0,2,2
Plumas,4/8/2020,0,1,1
Mendocino,4/8/2020,0,0,0
Solano,4/8/2020,15,19,34
Tulare,4/8/2020,7,16,23
San Francisco,4/8/2020,90,116,206
Siskiyou,4/8/2020,0,3,3
Glenn,4/8/2020,0,0,0
Monterey,4/9/2020,17,26,43
Nevada,4/9/2020,2,4,6
Humboldt,4/9/2020,2,6,8
Solano,4/9/2020,14,9,23
Los Angeles,4/9/2020,1368,758,2126
Trinity,4/9/2020,0,0,0
Mariposa,4/9/2020,0,0,0
Colusa,4/9/2020,0,0,0
Kern,4/9/2020,27,35,62
Yolo,4/9/2020,2,4,6
Contra Costa,4/9/2020,37,64,101
Tuolumne,4/9/2020,0,0,0
Sonoma,4/9/2020,5,21,26
Sutter,4/9/2020,0,0,0
San Luis Obispo,4/9/2020,2,10,12
Napa,4/9/2020,0,7,7
Plumas,4/9/2020,0,1,1
Butte,4/9/2020,1,14,15
Mono,4/9/2020,18,15,33
Shasta,4/9/2020,5,7,12
Mendocino,4/9/2020,0,0,0
Fresno,4/9/2020,25,41,66
San Mateo,4/9/2020,58,14,72
Orange,4/9/2020,146,117,263
San Diego,4/9/2020,227,124,351
Santa Cruz,4/9/2020,4,14,18
Riverside,4/9/2020,201,159,360
San Joaquin,4/9/2020,29,18,47
Madera,4/9/2020,0,3,3
San Benito,4/9/2020,2,1,3
Modoc,4/9/2020,0,0,0
Glenn,4/9/2020,0,0,0
Stanislaus,4/9/2020,28,30,58
Imperial,4/9/2020,14,10,24
Merced,4/9/2020,1,7,8
Ventura,4/9/2020,18,69,87
Santa Clara,4/9/2020,158,65,223
San Bernardino,4/9/2020,136,269,405
Yuba,4/9/2020,3,18,21
Del Norte,4/9/2020,0,2,2
Marin,4/9/2020,5,7,12
Lake,4/9/2020,0,0,0
Tulare,4/9/2020,10,11,21
Kings,4/9/2020,6,6,12
Sacramento,4/9/2020,74,60,134
Lassen,4/9/2020,0,2,2
El Dorado,4/9/2020,17,3,20
Placer,4/9/2020,18,12,30
Amador,4/9/2020,0,0,0
Tehama,4/9/2020,0,1,1
Santa Barbara,4/9/2020,40,18,58
San Francisco,4/9/2020,88,64,152
Inyo,4/9/2020,9,135,144
Alameda,4/9/2020,80,76,156
Calaveras,4/9/2020,0,0,0
Siskiyou,4/9/2020,0,2,2
Solano,4/10/2020,18,9,27
Sutter,4/10/2020,0,0,0
Modoc,4/10/2020,0,0,0
Plumas,4/10/2020,0,0,0
Colusa,4/10/2020,0,0,0
Imperial,4/10/2020,14,12,26
San Joaquin,4/10/2020,26,17,43
Los Angeles,4/10/2020,1299,754,2053
Del Norte,4/10/2020,0,3,3
Sonoma,4/10/2020,4,18,22
San Luis Obispo,4/10/2020,2,3,5
Mendocino,4/10/2020,0,1,1
Lake,4/10/2020,0,1,1
Orange,4/10/2020,139,129,268
Humboldt,4/10/2020,2,10,12
Santa Cruz,4/10/2020,4,11,15
Santa Clara,4/10/2020,151,44,195
Yolo,4/10/2020,3,2,5
Fresno,4/10/2020,27,41,68
Contra Costa,4/10/2020,42,30,72
Monterey,4/10/2020,18,21,39
Trinity,4/10/2020,0,0,0
Calaveras,4/10/2020,0,0,0
El Dorado,4/10/2020,17,1,18
Marin,4/10/2020,6,26,32
Nevada,4/10/2020,3,3,6
San Mateo,4/10/2020,56,12,68
Kern,4/10/2020,33,38,71
Yuba,4/10/2020,2,8,10
Napa,4/10/2020,0,7,7
Tulare,4/10/2020,11,10,21
Alameda,4/10/2020,93,71,164
Mono,4/10/2020,0,3,3
Riverside,4/10/2020,206,141,347
Siskiyou,4/10/2020,0,0,0
Kings,4/10/2020,8,0,8
Tehama,4/10/2020,0,1,1
San Benito,4/10/2020,2,1,3
Inyo,4/10/2020,9,135,144
San Bernardino,4/10/2020,156,295,451
Ventura,4/10/2020,19,76,95
Merced,4/10/2020,0,2,2
Shasta,4/10/2020,5,7,12
Amador,4/10/2020,0,0,0
Tuolumne,4/10/2020,0,0,0
Lassen,4/10/2020,0,2,2
Butte,4/10/2020,1,15,16
Stanislaus,4/10/2020,27,17,44
Glenn,4/10/2020,0,0,0
Madera,4/10/2020,0,5,5
Placer,4/10/2020,16,11,27
San Francisco,4/10/2020,85,46,131
Mariposa,4/10/2020,0,0,0
Sacramento,4/10/2020,70,45,115
Santa Barbara,4/10/2020,42,13,55
San Diego,4/10/2020,230,124,354
Merced,4/11/2020,0,2,2
Mono,4/11/2020,0,3,3
Modoc,4/11/2020,0,0,0
Placer,4/11/2020,20,19,39
Tehama,4/11/2020,0,0,0
Mariposa,4/11/2020,0,0,0
Sonoma,4/11/2020,3,19,22
Siskiyou,4/11/2020,0,0,0
Amador,4/11/2020,0,0,0
Shasta,4/11/2020,5,3,8
Alameda,4/11/2020,87,91,178
San Bernardino,4/11/2020,153,213,366
Calaveras,4/11/2020,0,1,1
Plumas,4/11/2020,0,0,0
Sacramento,4/11/2020,67,46,113
Glenn,4/11/2020,0,0,0
Nevada,4/11/2020,3,3,6
Colusa,4/11/2020,0,0,0
Stanislaus,4/11/2020,23,19,42
Kings,4/11/2020,10,0,10
Tulare,4/11/2020,12,3,15
Santa Clara,4/11/2020,146,61,207
San Mateo,4/11/2020,54,15,69
Imperial,4/11/2020,14,11,25
Del Norte,4/11/2020,0,2,2
Yolo,4/11/2020,3,4,7
Trinity,4/11/2020,0,0,0
Butte,4/11/2020,2,4,6
Marin,4/11/2020,2,27,29
Napa,4/11/2020,0,0,0
Yuba,4/11/2020,2,2,4
