county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Imperial,3/31/2020,12,100,,,3,4,4
San Joaquin,3/31/2020,44,54,,,14,5,28
Amador,3/31/2020,0,0,,,0,0,4
San Francisco,3/31/2020,67,69,,,30,14,77
Los Angeles,3/31/2020,713,1239,,,315,239,445
San Mateo,3/31/2020,60,23,,,18,5,37
Tulare,3/31/2020,6,14,,,4,5,9
Merced,3/31/2020,3,11,,,0,2,10
Butte,3/31/2020,4,20,,,2,3,2
Marin,3/31/2020,9,14,,,4,2,15
Santa Clara,3/31/2020,155,98,,,73,17,92
Glenn,3/31/2020,0,0,,,0,0,
San Luis Obispo,3/31/2020,7,15,,,3,6,955
Shasta,3/31/2020,1,5,,,1,0,4
Trinity,3/31/2020,0,0,,,0,0,
Lassen,3/31/2020,0,7,,,0,0,
Napa,3/31/2020,1,5,,,1,1,12
Alameda,3/31/2020,56,94,,,27,17,77
San Bernardino,3/31/2020,82,231,,,33,48,63
Tuolumne,3/31/2020,0,37,,,0,0,4
Ventura,3/31/2020,21,90,,,5,24,12
Riverside,3/31/2020,80,155,,,28,59,75
Del Norte,3/31/2020,0,4,,,0,0,3
San Benito,3/31/2020,1,0,,,1,0,1
Inyo,3/31/2020,,83,,,0,0,6
Mono,3/31/2020,0,1,,,0,0,2
Santa Cruz,3/31/2020,1,10,,,1,2,7
Humboldt,3/31/2020,1,11,,,0,4,8
Yolo,3/31/2020,3,2,,,2,2,1
Orange,3/31/2020,105,233,,,45,44,131
Monterey,3/31/2020,11,15,,,4,2,17
Tehama,3/31/2020,0,2,,,0,0,4
Madera,3/31/2020,1,3,,,1,0,5
Modoc,3/31/2020,0,19,,,0,0,
Yuba,3/31/2020,2,21,,,2,4,6
Lake,3/31/2020,0,4,,,0,2,3
Tehama,4/1/2020,0,1,,,0,1,4
Placer,4/1/2020,25,28,,,6,2,7
Imperial,4/1/2020,4,15,,,3,4,7
Madera,4/1/2020,1,3,,,1,0,4
Lassen,4/1/2020,0,7,,,0,0,
Napa,4/1/2020,2,2,,,0,1,9
Siskiyou,4/1/2020,0,5,,,0,2,3
San Benito,4/1/2020,2,0,,,2,0,0
Colusa,4/1/2020,0,1,,,0,1,5
San Bernardino,4/1/2020,95,196,,,39,52,34
Stanislaus,4/1/2020,25,39,,,10,6,31
Amador,4/1/2020,0,3,,,0,0,2
Kings,4/1/2020,2,6,,,1,2,1
Inyo,4/1/2020,7,89,,,0,0,6
Glenn,4/1/2020,,,,,,,
Calaveras,4/1/2020,0,1,,,0,0,5
Mariposa,4/1/2020,0,0,,,0,0,
Lake,4/1/2020,0,2,,,0,0,2
Shasta,4/1/2020,1,4,,,0,1,13
Del Norte,4/1/2020,0,5,,,0,0,3
Humboldt,4/1/2020,1,9,,,0,3,7
Tulare,4/1/2020,4,12,,,3,4,9
Los Angeles,4/1/2020,739,1332,,,335,220,492
Plumas,4/1/2020,0,0,,,0,0,
San Diego,4/1/2020,168,340,,,71,32,215
Orange,4/1/2020,117,221,,,50,48,118
Contra Costa,4/1/2020,31,42,,,12,12,61
Modoc,4/1/2020,0,1,,,0,0,
Riverside,4/1/2020,85,182,,,29,47,76
El Dorado,4/1/2020,14,8,,,1,3,9
San Mateo,4/1/2020,57,35,,,19,9,36
Kern,4/1/2020,15,45,,,7,9,32
San Francisco,4/1/2020,67,66,,,30,8,64
Mono,4/1/2020,0,0,,,0,0,2
Trinity,4/1/2020,0,0,,,0,0,
Marin,4/1/2020,9,19,,,4,2,14
Merced,4/1/2020,3,15,,,0,3,9
Butte,4/1/2020,5,33,,,2,4,9
San Luis Obispo,4/1/2020,8,10,,,5,6,968
Yolo,4/1/2020,3,3,,,1,1,2
Santa Barbara,4/1/2020,23,23,,,15,6,51
Ventura,4/1/2020,22,96,,,5,23,27
Sonoma,4/1/2020,5,18,,,1,2,22
Sutter,4/1/2020,0,0,,,0,0,
Alameda,4/1/2020,52,76,,,27,15,106
Santa Cruz,4/1/2020,2,12,,,2,2,3
Monterey,4/1/2020,13,16,,,4,4,15
Yuba,4/1/2020,2,24,,,2,4,6
Santa Clara,4/1/2020,160,85,,,77,15,91
Nevada,4/1/2020,36,54,,,0,4,3
Solano,4/1/2020,14,18,,,5,2,31
Sacramento,4/1/2020,53,138,,,20,33,74
Tuolumne,4/1/2020,0,0,,,0,0,2
San Joaquin,4/1/2020,25,35,,,16,11,21
Mendocino,4/1/2020,0,2,,,0,0,8
Fresno,4/1/2020,19,101,,,5,13,53
Placer,4/2/2020,32,15,,,9,0,11
Solano,4/2/2020,15,8,,,7,1,27
Fresno,4/2/2020,17,74,,,6,13,33
Marin,4/2/2020,7,16,,,3,1,16
Riverside,4/2/2020,136,181,,,45,49,104
Santa Barbara,4/2/2020,26,44,,,18,10,47
Mariposa,4/2/2020,0,1,,,0,0,
Tehama,4/2/2020,0,1,,,0,1,4
Trinity,4/2/2020,0,0,,,0,0,
Lassen,4/2/2020,0,7,,,0,0,
Napa,4/2/2020,1,4,,,1,1,12
Los Angeles,4/2/2020,818,1270,,,346,193,488
Humboldt,4/2/2020,1,8,,,0,2,8
Santa Clara,4/2/2020,163,101,,,69,19,95
San Mateo,4/2/2020,62,40,,,26,4,26
Siskiyou,4/2/2020,0,3,,,0,2,4
Glenn,4/2/2020,0,0,,,0,0,
Sacramento,4/2/2020,71,92,,,24,19,80
Mono,4/2/2020,18,2,,,0,0,2
Del Norte,4/2/2020,0,3,,,0,0,2
Madera,4/2/2020,1,7,,,1,3,6
Tuolumne,4/2/2020,0,0,,,0,0,2
San Francisco,4/2/2020,75,60,,,32,11,58
El Dorado,4/2/2020,15,12,,,0,6,10
Calaveras,4/2/2020,0,1,,,0,0,5
Tulare,4/2/2020,4,26,,,4,5,3
Plumas,4/2/2020,0,0,,,0,0,
Alameda,4/2/2020,57,76,,,29,17,112
San Luis Obispo,4/2/2020,5,5,,,4,4,966
Lake,4/2/2020,0,1,,,0,0,2
Contra Costa,4/2/2020,32,38,,,13,10,73
Modoc,4/2/2020,0,1,,,0,0,
Yolo,4/2/2020,3,2,,,2,3,0
Monterey,4/2/2020,14,14,,,4,2,12
Ventura,4/2/2020,27,111,,,7,24,15
Butte,4/2/2020,4,26,,,2,2,12
Imperial,4/2/2020,4,16,,,3,5,6
Sonoma,4/2/2020,8,18,,,1,0,10
Santa Cruz,4/2/2020,4,4,,,3,0,7
Inyo,4/2/2020,8,102,,,0,1,3
Amador,4/2/2020,0,3,,,0,0,2
Yuba,4/2/2020,2,25,,,2,6,4
San Diego,4/2/2020,144,343,,,69,35,206
Orange,4/2/2020,129,225,,,67,47,96
San Benito,4/2/2020,2,0,,,2,0,0
Shasta,4/2/2020,2,4,,,1,0,10
San Bernardino,4/2/2020,126,185,,,50,45,37
Merced,4/2/2020,4,5,,,0,1,3
Kings,4/2/2020,2,6,,,1,1,7
Sutter,4/2/2020,0,0,,,,,
Kern,4/2/2020,27,77,,,12,23,36
Stanislaus,4/2/2020,30,43,,,11,7,22
Colusa,4/2/2020,0,1,,,0,1,5
Nevada,4/2/2020,38,58,,,2,1,6
Mendocino,4/2/2020,0,1,,,0,0,8
San Joaquin,4/2/2020,42,42,,,20,7,17
Tulare,4/3/2020,6,15,,,5,2,3
Plumas,4/3/2020,0,0,,,0,0,
Kings,4/3/2020,0,3,,,1,0,3
Tuolumne,4/3/2020,0,0,,,0,0,1
Mendocino,4/3/2020,0,5,,,0,1,6
Santa Clara,4/3/2020,164,83,,,71,17,97
Contra Costa,4/3/2020,31,39,,,15,10,75
Madera,4/3/2020,0,5,,,0,1,7
Humboldt,4/3/2020,1,7,,,0,0,10
San Mateo,4/3/2020,65,39,,,26,4,38
Stanislaus,4/3/2020,28,45,,,12,8,22
Orange,4/3/2020,131,182,,,66,36,151
Ventura,4/3/2020,22,116,,,6,28,56
Fresno,4/3/2020,15,81,,,7,16,35
Mariposa,4/3/2020,0,2,,,0,0,
Napa,4/3/2020,1,9,,,0,1,9
San Bernardino,4/3/2020,118,204,,,44,53,57
Yuba,4/3/2020,2,12,,,2,2,5
Tehama,4/3/2020,0,0,,,0,0,8
Los Angeles,4/3/2020,962,1239,,,422,209,473
Butte,4/3/2020,3,19,,,2,6,9
Inyo,4/3/2020,8,102,,,1,2,1
Kern,4/3/2020,35,73,,,12,16,47
Glenn,4/3/2020,0,0,,,0,0,
Solano,4/3/2020,16,21,,,7,5,23
Sacramento,4/3/2020,77,76,,,28,17,76
Santa Cruz,4/3/2020,4,8,,,3,0,2
Alameda,4/3/2020,64,74,,,32,13,117
Placer,4/3/2020,21,23,,,10,1,7
Lassen,4/3/2020,0,3,,,0,0,
Imperial,4/3/2020,9,7,,,7,0,5
Del Norte,4/3/2020,0,2,,,0,0,2
Merced,4/3/2020,4,5,,,1,1,4
Trinity,4/3/2020,0,0,,,0,0,
Riverside,4/3/2020,105,182,,,44,59,127
Colusa,4/3/2020,1,0,,,1,0,5
San Joaquin,4/3/2020,41,38,,,18,8,22
San Francisco,4/3/2020,80,71,,,39,8,74
Sonoma,4/3/2020,6,24,,,2,3,15
El Dorado,4/3/2020,15,9,,,0,4,14
Monterey,4/3/2020,16,18,,,3,1,17
Modoc,4/3/2020,0,0,,,0,0,
Amador,4/3/2020,0,0,,,0,0,1
Santa Barbara,4/3/2020,27,29,,,18,4,50
Shasta,4/3/2020,2,9,,,1,3,14
Calaveras,4/3/2020,0,1,,,0,0,5
San Luis Obispo,4/3/2020,4,5,,,3,2,967
Yolo,4/3/2020,2,7,,,3,6,4
Lake,4/3/2020,0,2,,,0,1,2
Sutter,4/3/2020,0,0,,,,,
San Diego,4/3/2020,171,308,,,84,28,216
Siskiyou,4/3/2020,0,3,,,0,1,4
Nevada,4/3/2020,2,4,,,2,1,5
Mono,4/3/2020,18,2,,,0,0,2
Marin,4/3/2020,6,16,,,3,5,17
San Benito,4/3/2020,2,0,,,2,0,0
Mariposa,4/4/2020,0,2,,,0,0,
San Luis Obispo,4/4/2020,4,6,,,3,3,954
Napa,4/4/2020,1,8,,,0,1,6
Yuba,4/4/2020,2,16,,,2,2,7
Yolo,4/4/2020,4,5,,,3,3,4
Tehama,4/4/2020,0,1,,,0,0,8
Riverside,4/4/2020,126,186,,,39,56,125
Madera,4/4/2020,0,4,,,0,0,8
Calaveras,4/4/2020,0,1,,,0,0,5
Sutter,4/4/2020,0,0,,,,,
Alameda,4/4/2020,60,95,,,35,18,120
San Benito,4/4/2020,2,3,,,2,0,0
Nevada,4/4/2020,2,6,,,2,2,5
Siskiyou,4/4/2020,0,2,,,0,1,5
Monterey,4/4/2020,16,25,,,4,2,18
Santa Clara,4/4/2020,159,79,,,72,19,91
Marin,4/4/2020,5,16,,,3,5,12
Amador,4/4/2020,0,0,,,0,0,2
Contra Costa,4/4/2020,30,47,,,12,7,87
Ventura,4/4/2020,21,127,,,7,25,10
Sonoma,4/4/2020,7,16,,,2,6,15
Mono,4/4/2020,20,2,,,0,0,2
Solano,4/4/2020,16,19,,,7,2,23
Mendocino,4/4/2020,0,3,,,0,1,7
Tuolumne,4/4/2020,0,1,,,0,1,2
Modoc,4/4/2020,0,0,,,0,0,
San Joaquin,4/4/2020,43,30,,,16,7,24
Santa Cruz,4/4/2020,4,6,,,3,0,7
Lassen,4/4/2020,0,0,,,0,0,
Butte,4/4/2020,3,14,,,1,4,7
Del Norte,4/4/2020,0,2,,,0,0,1
Sacramento,4/4/2020,69,76,,,25,18,82
San Mateo,4/4/2020,66,19,,,25,6,40
Santa Barbara,4/4/2020,28,34,,,18,2,53
Plumas,4/4/2020,0,0,,,0,0,
Kings,4/4/2020,1,9,,,1,0,0
Trinity,4/4/2020,0,0,,,0,0,
Stanislaus,4/4/2020,30,45,,,12,9,26
Colusa,4/4/2020,1,0,,,1,0,5
Imperial,4/4/2020,9,10,,,5,2,5
Inyo,4/4/2020,8,106,,,1,1,2
Merced,4/4/2020,5,14,,,1,1,6
San Diego,4/4/2020,177,218,,,86,19,222
El Dorado,4/4/2020,15,9,,,0,3,12
Tulare,4/4/2020,8,20,,,5,1,6
San Bernardino,4/4/2020,138,254,,,51,66,67
Orange,4/4/2020,143,213,,,70,45,153
Glenn,4/4/2020,0,0,,,0,0,
Lake,4/4/2020,0,4,,,0,1,4
Placer,4/4/2020,23,14,,,10,1,12
Humboldt,4/4/2020,1,4,,,0,0,7
Fresno,4/4/2020,14,93,,,7,20,36
Shasta,4/4/2020,2,10,,,4,0,13
Kern,4/4/2020,33,54,,,14,11,29
San Francisco,4/4/2020,80,65,,,37,7,79
Los Angeles,4/4/2020,1007,1190,,,449,181,537
Mono,4/5/2020,20,2,,,0,0,2
Tuolumne,4/5/2020,0,0,,,0,0,4
Sonoma,4/5/2020,6,21,,,2,6,16
San Mateo,4/5/2020,69,15,,,24,6,36
Solano,4/5/2020,15,17,,,6,24,3
Lassen,4/5/2020,0,0,,,0,0,
Tulare,4/5/2020,4,20,,,8,2,3
Mendocino,4/5/2020,0,3,,,0,2,4
Riverside,4/5/2020,129,207,,,47,60,130
Alameda,4/5/2020,72,87,,,39,13,113
San Francisco,4/5/2020,79,68,,,37,11,74
Calaveras,4/5/2020,0,0,,,0,0,6
Kings,4/5/2020,3,1,,,2,0,0
Mariposa,4/5/2020,0,2,,,0,0,
Nevada,4/5/2020,2,4,,,2,1,3
San Luis Obispo,4/5/2020,2,11,,,2,9,28
Inyo,4/5/2020,9,106,,,1,0,3
Yolo,4/5/2020,3,6,,,3,3,4
San Diego,4/5/2020,179,220,,,89,31,247
Contra Costa,4/5/2020,29,35,,,15,10,74
Glenn,4/5/2020,0,0,,,0,0,
Orange,4/5/2020,144,221,,,70,46,156
Los Angeles,4/5/2020,1094,1082,,,473,166,554
Marin,4/5/2020,5,15,,,3,5,13
Madera,4/5/2020,0,1,,,0,0,8
Butte,4/5/2020,2,16,,,1,6,10
Santa Cruz,4/5/2020,5,12,,,4,4,10
El Dorado,4/5/2020,16,6,,,0,3,7
Sutter,4/5/2020,0,0,,,0,0,
Napa,4/5/2020,1,8,,,0,1,11
Imperial,4/5/2020,9,9,,,8,1,3
Plumas,4/5/2020,0,0,,,0,0,
Siskiyou,4/5/2020,0,2,,,0,2,3
Modoc,4/5/2020,0,0,,,0,0,
Monterey,4/5/2020,16,15,,,4,0,23
Del Norte,4/5/2020,0,1,,,0,0,1
San Bernardino,4/5/2020,146,240,,,59,54,70
Fresno,4/5/2020,16,81,,,8,15,39
Shasta,4/5/2020,8,11,,,4,0,13
Trinity,4/5/2020,0,0,,,0,0,
Merced,4/5/2020,15,10,,,1,3,8
Lake,4/5/2020,0,4,,,0,2,3
San Joaquin,4/5/2020,46,24,,,17,4,19
Stanislaus,4/5/2020,30,25,,,14,5,30
Placer,4/5/2020,23,13,,,10,1,10
Amador,4/5/2020,0,0,,,0,0,2
Ventura,4/5/2020,21,128,,,7,28,12
Kern,4/5/2020,23,27,,,12,4,40
Tehama,4/5/2020,0,1,,,0,0,5
Sacramento,4/5/2020,64,78,,,23,26,82
Santa Clara,4/5/2020,166,69,,,68,18,90
Humboldt,4/5/2020,2,3,,,0,0,8
San Benito,4/5/2020,3,0,,,2,0,0
Santa Barbara,4/5/2020,31,26,,,18,2,59
Colusa,4/5/2020,1,0,,,1,0,5
Yuba,4/5/2020,1,14,,,1,1,10
Inyo,4/6/2020,9,114,,,1,0,3
San Joaquin,4/6/2020,31,32,,,14,3,20
Alameda,4/6/2020,79,70,,,43,19,92
Yuba,4/6/2020,1,19,,,1,3,7
Yolo,4/6/2020,4,0,,,3,4,-3
Colusa,4/6/2020,0,0,,,0,0,6
Modoc,4/6/2020,0,0,,,0,0,
San Mateo,4/6/2020,68,20,,,25,5,36
Fresno,4/6/2020,18,81,,,11,20,45
Plumas,4/6/2020,0,0,,,0,0,
San Benito,4/6/2020,3,3,,,2,0,0
Santa Barbara,4/6/2020,34,26,,,19,5,54
Solano,4/6/2020,15,21,,,6,6,28
Riverside,4/6/2020,129,193,,,46,65,152
San Luis Obispo,4/6/2020,2,3,,,2,2,42
Tulare,4/6/2020,12,24,,,8,3,16
Del Norte,4/6/2020,0,3,,,0,0,0
Tuolumne,4/6/2020,0,0,,,0,0,
Merced,4/6/2020,4,2,,,0,2,4
Stanislaus,4/6/2020,28,28,,,12,4,37
Los Angeles,4/6/2020,1166,1070,,,486,175,587
Ventura,4/6/2020,22,106,,,9,20,32
Calaveras,4/6/2020,0,0,,,0,0,6
Kings,4/6/2020,3,3,,,2,0,3
Sutter,4/6/2020,0,0,,,,,
Santa Cruz,4/6/2020,5,9,,,4,2,5
Shasta,4/6/2020,6,3,,,2,2,28
Sonoma,4/6/2020,6,18,,,2,4,20
Imperial,4/6/2020,9,14,,,7,2,3
Monterey,4/6/2020,16,15,,,5,1,18
Amador,4/6/2020,0,0,,,0,0,2
Lake,4/6/2020,0,8,,,0,2,1
Napa,4/6/2020,0,7,,,0,0,15
Sacramento,4/6/2020,77,78,,,26,19,75
Butte,4/6/2020,1,15,,,1,5,9
San Francisco,4/6/2020,80,71,,,34,9,71
Siskiyou,4/6/2020,0,0,,,0,0,5
Mendocino,4/6/2020,0,2,,,0,2,10
Lassen,4/6/2020,0,0,,,0,0,
Mono,4/6/2020,20,2,,,0,0,2
Contra Costa,4/6/2020,30,28,,,15,11,78
San Bernardino,4/6/2020,148,185,,,60,43,102
Humboldt,4/6/2020,3,12,,,0,3,2
Santa Clara,4/6/2020,181,49,,,79,10,100
Placer,4/6/2020,20,12,,,10,1,24
Madera,4/6/2020,0,2,,,0,1,8
Trinity,4/6/2020,0,0,,,0,0,
Tehama,4/6/2020,0,0,,,0,0,4
El Dorado,4/6/2020,16,1,,,0,0,10
Kern,4/6/2020,24,36,,,12,5,39
San Diego,4/6/2020,187,224,,,83,25,270
Mariposa,4/6/2020,0,3,,,0,0,
Marin,4/6/2020,8,8,,,4,4,13
Glenn,4/6/2020,0,0,,,0,0,
Orange,4/6/2020,145,171,,,73,33,134
Nevada,4/6/2020,1,5,,,1,2,4
San Luis Obispo,4/7/2020,2,5,,,2,4,30
Sacramento,4/7/2020,74,91,,,28,18,72
Santa Clara,4/7/2020,187,47,,,77,7,105
Mono,4/7/2020,20,2,,,0,0,2
Imperial,4/7/2020,9,14,,,7,2,3
Ventura,4/7/2020,22,68,,,9,20,31
Calaveras,4/7/2020,0,1,,,0,0,8
Madera,4/7/2020,0,3,,,0,1,7
Inyo,4/7/2020,9,121,,,1,0,3
Trinity,4/7/2020,0,0,,,0,0,
Colusa,4/7/2020,0,0,,,0,0,6
Plumas,4/7/2020,0,1,,,0,0,
Sutter,4/7/2020,0,0,,,,,
Merced,4/7/2020,3,3,,,0,3,3
Napa,4/7/2020,0,5,,,0,3,7
Kern,4/7/2020,28,91,,,14,13,50
Tulare,4/7/2020,8,23,,,5,6,10
Riverside,4/7/2020,129,207,,,57,57,129
Glenn,4/7/2020,0,0,,,0,0,
San Mateo,4/7/2020,63,13,,,26,2,35
Sonoma,4/7/2020,6,28,,,2,6,21
Marin,4/7/2020,6,5,,,4,4,12
Nevada,4/7/2020,1,4,,,1,2,3
Santa Barbara,4/7/2020,41,8,,,23,1,48
El Dorado,4/7/2020,16,2,,,0,3,10
San Diego,4/7/2020,203,124,,,87,29,189
Orange,4/7/2020,143,144,,,71,29,136
Mariposa,4/7/2020,0,3,,,0,0,
Tuolumne,4/7/2020,0,0,,,0,0,0
Tehama,4/7/2020,0,1,,,0,0,2
Placer,4/7/2020,19,18,,,9,3,20
Alameda,4/7/2020,76,84,,,43,25,90
Shasta,4/7/2020,5,8,,,2,3,6
Monterey,4/7/2020,18,25,,,5,4,21
Lassen,4/7/2020,0,1,,,0,0,
Mendocino,4/7/2020,0,2,,,0,0,9
Lake,4/7/2020,0,0,,,0,0,1
Fresno,4/7/2020,20,82,,,11,13,50
San Bernardino,4/7/2020,146,178,,,54,49,126
Del Norte,4/7/2020,0,3,,,0,1,2
Yolo,4/7/2020,2,3,,,2,1,4
San Benito,4/7/2020,3,3,,,2,0,0
Siskiyou,4/7/2020,0,1,,,0,1,5
Santa Cruz,4/7/2020,4,4,,,4,3,4
Butte,4/7/2020,1,14,,,1,5,6
Humboldt,4/7/2020,2,7,,,0,0,7
San Francisco,4/7/2020,88,116,,,36,9,57
Kings,4/7/2020,3,4,,,2,0,3
Contra Costa,4/7/2020,31,38,,,17,9,82
Modoc,4/7/2020,0,1,,,0,0,
San Joaquin,4/7/2020,31,33,,,14,4,20
Solano,4/7/2020,14,24,,,7,6,31
Amador,4/7/2020,0,0,,,0,0,3
Los Angeles,4/7/2020,1251,1350,,,517,162,603
Yuba,4/7/2020,2,25,,,1,5,6
Stanislaus,4/7/2020,28,40,,,13,9,32
San Benito,4/8/2020,2,0,,,1,0,1
San Diego,4/8/2020,225,103,,,92,24,183
Santa Cruz,4/8/2020,4,9,,,3,4,8
Calaveras,4/8/2020,0,2,,,0,0,8
Merced,4/8/2020,1,1,,,0,2,5
Los Angeles,4/8/2020,1331,1077,,,532,211,582
Santa Clara,4/8/2020,156,34,,,70,6,104
Imperial,4/8/2020,16,7,,,8,3,3
Yolo,4/8/2020,2,7,,,1,2,6
Sutter,4/8/2020,0,0,,,,,
Sonoma,4/8/2020,6,22,,,2,5,18
Marin,4/8/2020,5,3,,,4,2,17
