county,date,all_hospital_beds,icu_available_beds
El Dorado,2020-04-01,0,9
San Mateo,2020-04-01,0,36
Kern,2020-04-01,0,32
San Francisco,2020-04-01,0,64
Mono,2020-04-01,0,2
Trinity,2020-04-01,0,0
Marin,2020-04-01,0,14
Merced,2020-04-01,0,9
Butte,2020-04-01,0,9
San Luis Obispo,2020-04-01,0,968
Yolo,2020-04-01,0,2
Santa Barbara,2020-04-01,0,51
Ventura,2020-04-01,0,27
Sonoma,2020-04-01,0,22
Sutter,2020-04-01,0,0
Alameda,2020-04-01,0,106
Santa Cruz,2020-04-01,0,3
Monterey,2020-04-01,0,15
Yuba,2020-04-01,0,6
Santa Clara,2020-04-01,0,91
Nevada,2020-04-01,0,3
Solano,2020-04-01,0,31
Sacramento,2020-04-01,0,74
Tuolumne,2020-04-01,0,2
San Joaquin,2020-04-01,0,21
Mendocino,2020-04-01,0,8
Fresno,2020-04-01,0,53
Placer,2020-04-02,0,11
Solano,2020-04-02,0,27
Fresno,2020-04-02,0,33
Marin,2020-04-02,0,16
Riverside,2020-04-02,0,104
Santa Barbara,2020-04-02,0,47
Mariposa,2020-04-02,0,0
Tehama,2020-04-02,0,4
Trinity,2020-04-02,0,0
Lassen,2020-04-02,0,0
Napa,2020-04-02,0,12
Los Angeles,2020-04-02,0,488
Humboldt,2020-04-02,0,8
Santa Clara,2020-04-02,0,95
San Mateo,2020-04-02,0,26
Siskiyou,2020-04-02,0,4
Glenn,2020-04-02,0,0
Sacramento,2020-04-02,0,80
Mono,2020-04-02,0,2
Del Norte,2020-04-02,0,2
Madera,2020-04-02,0,6
Tuolumne,2020-04-02,0,2
San Francisco,2020-04-02,0,58
El Dorado,2020-04-02,0,10
Calaveras,2020-04-02,0,5
Tulare,2020-04-02,0,3
Plumas,2020-04-02,0,0
Alameda,2020-04-02,0,112
San Luis Obispo,2020-04-02,0,966
Lake,2020-04-02,0,2
Contra Costa,2020-04-02,0,73
Modoc,2020-04-02,0,0
Yolo,2020-04-02,0,0
Monterey,2020-04-02,0,12
Ventura,2020-04-02,0,15
Butte,2020-04-02,0,12
Imperial,2020-04-02,0,6
Sonoma,2020-04-02,0,10
Santa Cruz,2020-04-02,0,7
Inyo,2020-04-02,0,3
Amador,2020-04-02,0,2
Yuba,2020-04-02,0,4
San Diego,2020-04-02,0,206
Orange,2020-04-02,0,96
San Benito,2020-04-02,0,0
Shasta,2020-04-02,0,10
San Bernardino,2020-04-02,0,37
Merced,2020-04-02,0,3
Kings,2020-04-02,0,7
Sutter,2020-04-02,0,0
Kern,2020-04-02,0,36
Stanislaus,2020-04-02,0,22
Colusa,2020-04-02,0,5
Nevada,2020-04-02,0,6
Mendocino,2020-04-02,0,8
San Joaquin,2020-04-02,0,17
Tulare,2020-04-03,0,3
Plumas,2020-04-03,0,0
Kings,2020-04-03,0,3
Tuolumne,2020-04-03,0,1
Mendocino,2020-04-03,0,6
Santa Clara,2020-04-03,0,97
Contra Costa,2020-04-03,0,75
Madera,2020-04-03,0,7
Humboldt,2020-04-03,0,10
San Mateo,2020-04-03,0,38
Stanislaus,2020-04-03,0,22
Orange,2020-04-03,0,151
Ventura,2020-04-03,0,56
Fresno,2020-04-03,0,35
Mariposa,2020-04-03,0,0
Napa,2020-04-03,0,9
San Bernardino,2020-04-03,0,57
Yuba,2020-04-03,0,5
Tehama,2020-04-03,0,8
Los Angeles,2020-04-03,0,473
Butte,2020-04-03,0,9
Inyo,2020-04-03,0,1
Kern,2020-04-03,0,47
Glenn,2020-04-03,0,0
Solano,2020-04-03,0,23
Sacramento,2020-04-03,0,76
Santa Cruz,2020-04-03,0,2
Alameda,2020-04-03,0,117
Placer,2020-04-03,0,7
Lassen,2020-04-03,0,0
Imperial,2020-04-03,0,5
Del Norte,2020-04-03,0,2
Merced,2020-04-03,0,4
Trinity,2020-04-03,0,0
Riverside,2020-04-03,0,127
Colusa,2020-04-03,0,5
San Joaquin,2020-04-03,0,22
San Francisco,2020-04-03,0,74
Sonoma,2020-04-03,0,15
El Dorado,2020-04-03,0,14
Monterey,2020-04-03,0,17
Modoc,2020-04-03,0,0
Amador,2020-04-03,0,1
Santa Barbara,2020-04-03,0,50
Shasta,2020-04-03,0,14
Calaveras,2020-04-03,0,5
San Luis Obispo,2020-04-03,0,967
Yolo,2020-04-03,0,4
Lake,2020-04-03,0,2
Sutter,2020-04-03,0,0
San Diego,2020-04-03,0,216
Siskiyou,2020-04-03,0,4
Nevada,2020-04-03,0,5
Mono,2020-04-03,0,2
Marin,2020-04-03,0,17
San Benito,2020-04-03,0,0
Mariposa,2020-04-04,0,0
San Luis Obispo,2020-04-04,0,954
Napa,2020-04-04,0,6
Yuba,2020-04-04,0,7
Yolo,2020-04-04,0,4
Tehama,2020-04-04,0,8
Riverside,2020-04-04,0,125
Madera,2020-04-04,0,8
Calaveras,2020-04-04,0,5
Sutter,2020-04-04,0,0
Alameda,2020-04-04,0,120
San Benito,2020-04-04,0,0
Nevada,2020-04-04,0,5
Siskiyou,2020-04-04,0,5
Monterey,2020-04-04,0,18
Santa Clara,2020-04-04,0,91
Marin,2020-04-04,0,12
Amador,2020-04-04,0,2
Contra Costa,2020-04-04,0,87
Ventura,2020-04-04,0,10
Sonoma,2020-04-04,0,15
Mono,2020-04-04,0,2
Solano,2020-04-04,0,23
Mendocino,2020-04-04,0,7
Tuolumne,2020-04-04,0,2
Modoc,2020-04-04,0,0
San Joaquin,2020-04-04,0,24
Santa Cruz,2020-04-04,0,7
Lassen,2020-04-04,0,0
Butte,2020-04-04,0,7
Del Norte,2020-04-04,0,1
Sacramento,2020-04-04,0,82
San Mateo,2020-04-04,0,40
Santa Barbara,2020-04-04,0,53
Plumas,2020-04-04,0,0
Kings,2020-04-04,0,0
Trinity,2020-04-04,0,0
Stanislaus,2020-04-04,0,26
Colusa,2020-04-04,0,5
Imperial,2020-04-04,0,5
Inyo,2020-04-04,0,2
Merced,2020-04-04,0,6
San Diego,2020-04-04,0,222
El Dorado,2020-04-04,0,12
Tulare,2020-04-04,0,6
San Bernardino,2020-04-04,0,67
Orange,2020-04-04,0,153
Glenn,2020-04-04,0,0
Lake,2020-04-04,0,4
Placer,2020-04-04,0,12
Humboldt,2020-04-04,0,7
Fresno,2020-04-04,0,36
Shasta,2020-04-04,0,13
Kern,2020-04-04,0,29
San Francisco,2020-04-04,0,79
Los Angeles,2020-04-04,0,537
Mono,2020-04-05,0,2
Tuolumne,2020-04-05,0,4
Sonoma,2020-04-05,0,16
San Mateo,2020-04-05,0,36
Solano,2020-04-05,0,3
Lassen,2020-04-05,0,0
Tulare,2020-04-05,0,3
Mendocino,2020-04-05,0,4
Riverside,2020-04-05,0,130
Alameda,2020-04-05,0,113
San Francisco,2020-04-05,0,74
Calaveras,2020-04-05,0,6
Kings,2020-04-05,0,0
Mariposa,2020-04-05,0,0
Nevada,2020-04-05,0,3
San Luis Obispo,2020-04-05,0,28
Inyo,2020-04-05,0,3
Yolo,2020-04-05,0,4
San Diego,2020-04-05,0,247
Contra Costa,2020-04-05,0,74
Glenn,2020-04-05,0,0
Orange,2020-04-05,0,156
Los Angeles,2020-04-05,0,554
Marin,2020-04-05,0,13
Madera,2020-04-05,0,8
Butte,2020-04-05,0,10
Santa Cruz,2020-04-05,0,10
El Dorado,2020-04-05,0,7
Sutter,2020-04-05,0,0
Napa,2020-04-05,0,11
Imperial,2020-04-05,0,3
Plumas,2020-04-05,0,0
Siskiyou,2020-04-05,0,3
Modoc,2020-04-05,0,0
Monterey,2020-04-05,0,23
Del Norte,2020-04-05,0,1
San Bernardino,2020-04-05,0,70
Fresno,2020-04-05,0,39
Shasta,2020-04-05,0,13
Trinity,2020-04-05,0,0
Merced,2020-04-05,0,8
Lake,2020-04-05,0,3
San Joaquin,2020-04-05,0,19
Stanislaus,2020-04-05,0,30
Placer,2020-04-05,0,10
Amador,2020-04-05,0,2
Ventura,2020-04-05,0,12
Kern,2020-04-05,0,40
Tehama,2020-04-05,0,5
Sacramento,2020-04-05,0,82
Santa Clara,2020-04-05,0,90
Humboldt,2020-04-05,0,8
San Benito,2020-04-05,0,0
Santa Barbara,2020-04-05,0,59
Colusa,2020-04-05,0,5
Yuba,2020-04-05,0,10
Inyo,2020-04-06,0,3
San Joaquin,2020-04-06,0,20
Alameda,2020-04-06,0,92
Yuba,2020-04-06,0,7
Yolo,2020-04-06,0,-3
Colusa,2020-04-06,0,6
Modoc,2020-04-06,0,0
San Mateo,2020-04-06,0,36
Fresno,2020-04-06,0,45
Plumas,2020-04-06,0,0
San Benito,2020-04-06,0,0
Santa Barbara,2020-04-06,0,54
Solano,2020-04-06,0,28
Riverside,2020-04-06,0,152
San Luis Obispo,2020-04-06,0,42
Tulare,2020-04-06,0,16
Del Norte,2020-04-06,0,0
Tuolumne,2020-04-06,0,0
Merced,2020-04-06,0,4
Stanislaus,2020-04-06,0,37
Los Angeles,2020-04-06,0,587
Ventura,2020-04-06,0,32
Calaveras,2020-04-06,0,6
Kings,2020-04-06,0,3
Sutter,2020-04-06,0,0
Santa Cruz,2020-04-06,0,5
Shasta,2020-04-06,0,28
Sonoma,2020-04-06,0,20
Imperial,2020-04-06,0,3
Monterey,2020-04-06,0,18
Amador,2020-04-06,0,2
Lake,2020-04-06,0,1
Napa,2020-04-06,0,15
Sacramento,2020-04-06,0,75
Butte,2020-04-06,0,9
San Francisco,2020-04-06,0,71
Siskiyou,2020-04-06,0,5
Mendocino,2020-04-06,0,10
Lassen,2020-04-06,0,0
Mono,2020-04-06,0,2
Contra Costa,2020-04-06,0,78
San Bernardino,2020-04-06,0,102
Humboldt,2020-04-06,0,2
Santa Clara,2020-04-06,0,100
Placer,2020-04-06,0,24
Madera,2020-04-06,0,8
Trinity,2020-04-06,0,0
Tehama,2020-04-06,0,4
El Dorado,2020-04-06,0,10
Kern,2020-04-06,0,39
San Diego,2020-04-06,0,270
Mariposa,2020-04-06,0,0
Marin,2020-04-06,0,13
Glenn,2020-04-06,0,0
Orange,2020-04-06,0,134
Nevada,2020-04-06,0,4
San Luis Obispo,2020-04-07,0,30
Sacramento,2020-04-07,0,72
Santa Clara,2020-04-07,0,105
Mono,2020-04-07,0,2
Imperial,2020-04-07,0,3
Ventura,2020-04-07,0,31
Calaveras,2020-04-07,0,8
Madera,2020-04-07,0,7
Inyo,2020-04-07,0,3
Trinity,2020-04-07,0,0
Colusa,2020-04-07,0,6
Plumas,2020-04-07,0,0
Sutter,2020-04-07,0,0
Merced,2020-04-07,0,3
Napa,2020-04-07,0,7
Kern,2020-04-07,0,50
Tulare,2020-04-07,0,10
Riverside,2020-04-07,0,129
Glenn,2020-04-07,0,0
San Mateo,2020-04-07,0,35
Sonoma,2020-04-07,0,21
Marin,2020-04-07,0,12
Nevada,2020-04-07,0,3
Santa Barbara,2020-04-07,0,48
El Dorado,2020-04-07,0,10
San Diego,2020-04-07,0,189
Orange,2020-04-07,0,136
Mariposa,2020-04-07,0,0
Tuolumne,2020-04-07,0,0
Tehama,2020-04-07,0,2
Placer,2020-04-07,0,20
Alameda,2020-04-07,0,90
Shasta,2020-04-07,0,6
Monterey,2020-04-07,0,21
Lassen,2020-04-07,0,0
Mendocino,2020-04-07,0,9
Lake,2020-04-07,0,1
Fresno,2020-04-07,0,50
San Bernardino,2020-04-07,0,126
Del Norte,2020-04-07,0,2
Yolo,2020-04-07,0,4
San Benito,2020-04-07,0,0
Siskiyou,2020-04-07,0,5
Santa Cruz,2020-04-07,0,4
Butte,2020-04-07,0,6
Humboldt,2020-04-07,0,7
San Francisco,2020-04-07,0,57
Kings,2020-04-07,0,3
Contra Costa,2020-04-07,0,82
Modoc,2020-04-07,0,0
San Joaquin,2020-04-07,0,20
Solano,2020-04-07,0,31
Amador,2020-04-07,0,3
Los Angeles,2020-04-07,0,603
Yuba,2020-04-07,0,6
Stanislaus,2020-04-07,0,32
San Benito,2020-04-08,0,1
San Diego,2020-04-08,0,183
Santa Cruz,2020-04-08,0,8
Calaveras,2020-04-08,0,8
Merced,2020-04-08,0,5
Los Angeles,2020-04-08,0,582
Santa Clara,2020-04-08,0,104
Imperial,2020-04-08,0,3
Yolo,2020-04-08,0,6
Sutter,2020-04-08,0,0
Sonoma,2020-04-08,0,18
Marin,2020-04-08,0,17
San Joaquin,2020-04-08,0,18
Colusa,2020-04-08,0,6
Mariposa,2020-04-08,0,0
Sacramento,2020-04-08,0,73
Modoc,2020-04-08,0,0
Nevada,2020-04-08,0,6
Madera,2020-04-08,0,7
Monterey,2020-04-08,0,24
Stanislaus,2020-04-08,0,58
Contra Costa,2020-04-08,0,78
Tehama,2020-04-08,0,4
Santa Barbara,2020-04-08,0,51
San Mateo,2020-04-08,0,32
San Luis Obispo,2020-04-08,0,22
Tuolumne,2020-04-08,0,1
Kings,2020-04-08,0,1
Fresno,2020-04-08,0,64
Ventura,2020-04-08,0,31
Alameda,2020-04-08,0,111
Placer,2020-04-08,0,19
Shasta,2020-04-08,0,10
Inyo,2020-04-08,0,2
Trinity,2020-04-08,0,0
Yuba,2020-04-08,0,5
Amador,2020-04-08,0,1
Napa,2020-04-08,0,5
Orange,2020-04-08,0,201
Lassen,2020-04-08,0,0
San Bernardino,2020-04-08,0,144
Butte,2020-04-08,0,4
El Dorado,2020-04-08,0,10
Riverside,2020-04-08,0,154
Lake,2020-04-08,0,1
Humboldt,2020-04-08,0,6
Kern,2020-04-08,0,32
Mono,2020-04-08,0,2
Del Norte,2020-04-08,0,4
Plumas,2020-04-08,0,0
Mendocino,2020-04-08,0,7
Solano,2020-04-08,0,27
Tulare,2020-04-08,0,22
San Francisco,2020-04-08,0,55
Siskiyou,2020-04-08,0,5
Glenn,2020-04-08,0,0
Monterey,2020-04-09,0,22
Nevada,2020-04-09,0,4
Humboldt,2020-04-09,0,6
Solano,2020-04-09,0,33
Los Angeles,2020-04-09,0,569
Trinity,2020-04-09,0,0
Mariposa,2020-04-09,0,0
Colusa,2020-04-09,0,5
Kern,2020-04-09,0,25
Yolo,2020-04-09,0,11
Contra Costa,2020-04-09,0,73
Tuolumne,2020-04-09,0,5
Sonoma,2020-04-09,0,24
Sutter,2020-04-09,0,0
San Luis Obispo,2020-04-09,0,21
Napa,2020-04-09,0,10
Plumas,2020-04-09,0,0
Butte,2020-04-09,0,5
Mono,2020-04-09,0,2
Shasta,2020-04-09,0,5
Mendocino,2020-04-09,0,8
Fresno,2020-04-09,0,59
San Mateo,2020-04-09,0,39
Orange,2020-04-09,0,206
San Diego,2020-04-09,0,163
Santa Cruz,2020-04-09,0,7
Riverside,2020-04-09,0,133
San Joaquin,2020-04-09,0,16
Madera,2020-04-09,0,5
San Benito,2020-04-09,0,1
Modoc,2020-04-09,0,0
Glenn,2020-04-09,0,0
Stanislaus,2020-04-09,0,45
Imperial,2020-04-09,0,1
Merced,2020-04-09,0,5
Ventura,2020-04-09,0,29
Santa Clara,2020-04-09,0,87
San Bernardino,2020-04-09,0,143
Yuba,2020-04-09,0,6
Del Norte,2020-04-09,0,5
Marin,2020-04-09,0,21
Lake,2020-04-09,0,2
Tulare,2020-04-09,0,19
Kings,2020-04-09,0,2
Sacramento,2020-04-09,0,63
Lassen,2020-04-09,0,0
El Dorado,2020-04-09,0,10
Placer,2020-04-09,0,16
Amador,2020-04-09,0,3
Tehama,2020-04-09,0,5
Santa Barbara,2020-04-09,0,45
San Francisco,2020-04-09,0,45
Inyo,2020-04-09,0,3
Alameda,2020-04-09,0,107
Calaveras,2020-04-09,0,11
Siskiyou,2020-04-09,0,5
Solano,2020-04-10,0,31
Sutter,2020-04-10,0,0
Modoc,2020-04-10,0,0
Plumas,2020-04-10,0,0
Colusa,2020-04-10,0,6
Imperial,2020-04-10,0,1
San Joaquin,2020-04-10,0,20
Los Angeles,2020-04-10,0,663
Del Norte,2020-04-10,0,4
Sonoma,2020-04-10,0,32
San Luis Obispo,2020-04-10,0,24
Mendocino,2020-04-10,0,5
Lake,2020-04-10,0,2
Orange,2020-04-10,0,187
Humboldt,2020-04-10,0,0
Santa Cruz,2020-04-10,0,4
Santa Clara,2020-04-10,0,99
Yolo,2020-04-10,0,7
Fresno,2020-04-10,0,57
Contra Costa,2020-04-10,0,75
Monterey,2020-04-10,0,25
Trinity,2020-04-10,0,0
Calaveras,2020-04-10,0,11
El Dorado,2020-04-10,0,10
Marin,2020-04-10,0,17
Nevada,2020-04-10,0,6
San Mateo,2020-04-10,0,41
Kern,2020-04-10,0,45
Yuba,2020-04-10,0,7
Napa,2020-04-10,0,7
Tulare,2020-04-10,0,16
Alameda,2020-04-10,0,128
Mono,2020-04-10,0,2
Riverside,2020-04-10,0,140
Siskiyou,2020-04-10,0,4
Kings,2020-04-10,0,1
Tehama,2020-04-10,0,8
San Benito,2020-04-10,0,1
Inyo,2020-04-10,0,3
San Bernardino,2020-04-10,0,134
Ventura,2020-04-10,0,30
Merced,2020-04-10,0,4
Shasta,2020-04-10,0,12
Amador,2020-04-10,0,4
Tuolumne,2020-04-10,0,0
Lassen,2020-04-10,0,0
Butte,2020-04-10,0,5
Stanislaus,2020-04-10,0,44
Glenn,2020-04-10,0,0
Madera,2020-04-10,0,6
Placer,2020-04-10,0,9
San Francisco,2020-04-10,0,125
Mariposa,2020-04-10,0,0
Sacramento,2020-04-10,0,69
Santa Barbara,2020-04-10,0,43
San Diego,2020-04-10,0,153
Merced,2020-04-11,0,3
Mono,2020-04-11,0,2
Modoc,2020-04-11,0,0
Placer,2020-04-11,0,13
Tehama,2020-04-11,0,7
Mariposa,2020-04-11,0,0
Sonoma,2020-04-11,0,30
Siskiyou,2020-04-11,0,4
Amador,2020-04-11,0,4
Shasta,2020-04-11,0,12
Alameda,2020-04-11,0,121
San Bernardino,2020-04-11,0,117
Calaveras,2020-04-11,0,11
Plumas,2020-04-11,0,0
Sacramento,2020-04-11,0,80
Glenn,2020-04-11,0,0
Nevada,2020-04-11,0,5
Colusa,2020-04-11,0,6
Stanislaus,2020-04-11,0,44
Kings,2020-04-11,0,1
Tulare,2020-04-11,0,19
Santa Clara,2020-04-11,0,106
San Mateo,2020-04-11,0,42
Imperial,2020-04-11,0,1
Del Norte,2020-04-11,0,5
Yolo,2020-04-11,0,7
Trinity,2020-04-11,0,0
Butte,2020-04-11,0,5
Marin,2020-04-11,0,14
Napa,2020-04-11,0,5
Yuba,2020-04-11,0,9
Fresno,2020-04-11,0,52
San Benito,2020-04-11,0,2
Humboldt,2020-04-11,0,3
Solano,2020-04-11,0,32
Los Angeles,2020-04-11,0,595
Inyo,2020-04-11,0,3
San Luis Obispo,2020-04-11,0,23
Riverside,2020-04-11,0,149
Sutter,2020-04-11,0,0
Kern,2020-04-11,0,41
Madera,2020-04-11,0,5
Monterey,2020-04-11,0,24
Lassen,2020-04-11,0,0
Tuolumne,2020-04-11,0,3
Santa Barbara,2020-04-11,0,53
San Francisco,2020-04-11,0,132
San Diego,2020-04-11,0,140
Lake,2020-04-11,0,0
Mendocino,2020-04-11,0,9
San Joaquin,2020-04-11,0,28
El Dorado,2020-04-11,0,9
Orange,2020-04-11,0,219
Contra Costa,2020-04-11,0,75
Ventura,2020-04-11,0,33
Santa Cruz,2020-04-11,0,6
Orange,2020-04-12,0,190
Marin,2020-04-12,0,13
Riverside,2020-04-12,0,146
Sutter,2020-04-12,0,0
Tehama,2020-04-12,0,6
Butte,2020-04-12,0,15
Santa Cruz,2020-04-12,0,4
Sonoma,2020-04-12,0,25
Placer,2020-04-12,0,6
Yuba,2020-04-12,0,6
Del Norte,2020-04-12,0,6
Yolo,2020-04-12,0,3
Glenn,2020-04-12,0,0
Mariposa,2020-04-12,0,0
Napa,2020-04-12,0,6
Kings,2020-04-12,0,3
Lassen,2020-04-12,0,0
Siskiyou,2020-04-12,0,6
San Benito,2020-04-12,0,2
Inyo,2020-04-12,0,4
Colusa,2020-04-12,0,6
El Dorado,2020-04-12,0,11
Plumas,2020-04-12,0,0
Alameda,2020-04-12,0,52
Kern,2020-04-12,0,41
Madera,2020-04-12,0,5
San Diego,2020-04-12,0,170
Sacramento,2020-04-12,0,68
Fresno,2020-04-12,0,54
Mendocino,2020-04-12,0,6
San Joaquin,2020-04-12,0,23
Lake,2020-04-12,0,0
Nevada,2020-04-12,0,4
Tulare,2020-04-12,0,22
Merced,2020-04-12,0,2
Los Angeles,2020-04-12,0,564
Ventura,2020-04-12,0,36
Stanislaus,2020-04-12,0,7
San Bernardino,2020-04-12,0,108
Santa Clara,2020-04-12,0,102
San Francisco,2020-04-12,0,71
San Luis Obispo,2020-04-12,0,24
Shasta,2020-04-12,0,15
Santa Barbara,2020-04-12,0,53
Contra Costa,2020-04-12,0,64
Monterey,2020-04-12,0,26
San Mateo,2020-04-12,0,23
Tuolumne,2020-04-12,0,5
Amador,2020-04-12,0,3
Calaveras,2020-04-12,0,9
Humboldt,2020-04-12,0,3
Imperial,2020-04-12,0,2
Solano,2020-04-12,0,30
Trinity,2020-04-12,0,0
Modoc,2020-04-12,0,0
Mono,2020-04-12,0,2
Riverside,2020-04-13,0,132
San Diego,2020-04-13,0,171
Santa Clara,2020-04-13,0,87
Fresno,2020-04-13,0,60
Tehama,2020-04-13,0,6
El Dorado,2020-04-13,0,12
Sonoma,2020-04-13,0,31
Tulare,2020-04-13,0,18
Inyo,2020-04-13,0,3
Santa Barbara,2020-04-13,0,59
Calaveras,2020-04-13,0,10
Contra Costa,2020-04-13,0,69
Kings,2020-04-13,0,0
