county,date,confirmed_patients,suspected_patients,all_hospital_beds,icu_covid_confirmed,icu_covid_suspected,icu_available_beds,total_covid_patients
Fresno,2020-03-31,30,274,0,4,19,23,304
Plumas,2020-03-31,0,0,0,0,0,0,0
Sutter,2020-03-31,0,0,0,0,0,0,0
Nevada,2020-03-31,36,40,0,2,1,6,76
Contra Costa,2020-03-31,27,54,0,11,10,68,81
Mendocino,2020-03-31,0,1,0,0,0,7,1
Placer,2020-03-31,18,27,0,6,0,28,45
El Dorado,2020-03-31,10,9,0,0,6,12,19
Siskiyou,2020-03-31,0,0,0,0,0,4,0
Calaveras,2020-03-31,0,1,0,0,0,4,1
Colusa,2020-03-31,0,1,0,0,1,5,1
Imperial,2020-03-31,12,100,0,3,4,4,112
San Joaquin,2020-03-31,44,54,0,14,5,28,98
Amador,2020-03-31,0,0,0,0,0,4,0
San Francisco,2020-03-31,67,69,0,30,14,77,136
Los Angeles,2020-03-31,713,1239,0,315,239,445,1952
San Mateo,2020-03-31,60,23,0,18,5,37,83
Tulare,2020-03-31,6,14,0,4,5,9,20
Merced,2020-03-31,3,11,0,0,2,10,14
Butte,2020-03-31,4,20,0,2,3,2,24
Marin,2020-03-31,9,14,0,4,2,15,23
Santa Clara,2020-03-31,155,98,0,73,17,92,253
Glenn,2020-03-31,0,0,0,0,0,0,0
San Luis Obispo,2020-03-31,7,15,0,3,6,955,22
Shasta,2020-03-31,1,5,0,1,0,4,6
Trinity,2020-03-31,0,0,0,0,0,0,0
Lassen,2020-03-31,0,7,0,0,0,0,7
Napa,2020-03-31,1,5,0,1,1,12,6
Alameda,2020-03-31,56,94,0,27,17,77,150
San Bernardino,2020-03-31,82,231,0,33,48,63,313
Tuolumne,2020-03-31,0,37,0,0,0,4,37
Ventura,2020-03-31,21,90,0,5,24,12,111
Riverside,2020-03-31,80,155,0,28,59,75,235
Del Norte,2020-03-31,0,4,0,0,0,3,4
San Benito,2020-03-31,1,0,0,1,0,1,1
Inyo,2020-03-31,0,83,0,0,0,6,0
Mono,2020-03-31,0,1,0,0,0,2,1
Santa Cruz,2020-03-31,1,10,0,1,2,7,11
Humboldt,2020-03-31,1,11,0,0,4,8,12
Yolo,2020-03-31,3,2,0,2,2,1,5
Orange,2020-03-31,105,233,0,45,44,131,338
Monterey,2020-03-31,11,15,0,4,2,17,26
Tehama,2020-03-31,0,2,0,0,0,4,2
Madera,2020-03-31,1,3,0,1,0,5,4
Modoc,2020-03-31,0,19,0,0,0,0,19
Yuba,2020-03-31,2,21,0,2,4,6,23
Lake,2020-03-31,0,4,0,0,2,3,4
Tehama,2020-04-01,0,1,0,0,1,4,1
Placer,2020-04-01,25,28,0,6,2,7,53
Imperial,2020-04-01,4,15,0,3,4,7,19
Madera,2020-04-01,1,3,0,1,0,4,4
Lassen,2020-04-01,0,7,0,0,0,0,7
Napa,2020-04-01,2,2,0,0,1,9,4
Siskiyou,2020-04-01,0,5,0,0,2,3,5
San Benito,2020-04-01,2,0,0,2,0,0,2
Colusa,2020-04-01,0,1,0,0,1,5,1
San Bernardino,2020-04-01,95,196,0,39,52,34,291
Stanislaus,2020-04-01,25,39,0,10,6,31,64
Amador,2020-04-01,0,3,0,0,0,2,3
Kings,2020-04-01,2,6,0,1,2,1,8
Inyo,2020-04-01,7,89,0,0,0,6,96
Glenn,2020-04-01,0,0,0,0,0,0,0
Calaveras,2020-04-01,0,1,0,0,0,5,1
Mariposa,2020-04-01,0,0,0,0,0,0,0
Lake,2020-04-01,0,2,0,0,0,2,2
Shasta,2020-04-01,1,4,0,0,1,13,5
Del Norte,2020-04-01,0,5,0,0,0,3,5
Humboldt,2020-04-01,1,9,0,0,3,7,10
Tulare,2020-04-01,4,12,0,3,4,9,16
Los Angeles,2020-04-01,739,1332,0,335,220,492,2071
Plumas,2020-04-01,0,0,0,0,0,0,0
San Diego,2020-04-01,168,340,0,71,32,215,508
Orange,2020-04-01,117,221,0,50,48,118,338
Contra Costa,2020-04-01,31,42,0,12,12,61,73
Modoc,2020-04-01,0,1,0,0,0,0,1
Riverside,2020-04-01,85,182,0,29,47,76,267
El Dorado,2020-04-01,14,8,0,1,3,9,22
San Mateo,2020-04-01,57,35,0,19,9,36,92
Kern,2020-04-01,15,45,0,7,9,32,60
San Francisco,2020-04-01,67,66,0,30,8,64,133
Mono,2020-04-01,0,0,0,0,0,2,0
Trinity,2020-04-01,0,0,0,0,0,0,0
Marin,2020-04-01,9,19,0,4,2,14,28
Merced,2020-04-01,3,15,0,0,3,9,18
Butte,2020-04-01,5,33,0,2,4,9,38
San Luis Obispo,2020-04-01,8,10,0,5,6,968,18
Yolo,2020-04-01,3,3,0,1,1,2,6
Santa Barbara,2020-04-01,23,23,0,15,6,51,46
Ventura,2020-04-01,22,96,0,5,23,27,118
Sonoma,2020-04-01,5,18,0,1,2,22,23
Sutter,2020-04-01,0,0,0,0,0,0,0
Alameda,2020-04-01,52,76,0,27,15,106,128
Santa Cruz,2020-04-01,2,12,0,2,2,3,14
Monterey,2020-04-01,13,16,0,4,4,15,29
Yuba,2020-04-01,2,24,0,2,4,6,26
Santa Clara,2020-04-01,160,85,0,77,15,91,245
Nevada,2020-04-01,36,54,0,0,4,3,90
Solano,2020-04-01,14,18,0,5,2,31,32
Sacramento,2020-04-01,53,138,0,20,33,74,191
Tuolumne,2020-04-01,0,0,0,0,0,2,0
San Joaquin,2020-04-01,25,35,0,16,11,21,60
Mendocino,2020-04-01,0,2,0,0,0,8,2
Fresno,2020-04-01,19,101,0,5,13,53,120
Placer,2020-04-02,32,15,0,9,0,11,47
Solano,2020-04-02,15,8,0,7,1,27,23
Fresno,2020-04-02,17,74,0,6,13,33,91
Marin,2020-04-02,7,16,0,3,1,16,23
Riverside,2020-04-02,136,181,0,45,49,104,317
Santa Barbara,2020-04-02,26,44,0,18,10,47,70
Mariposa,2020-04-02,0,1,0,0,0,0,1
Tehama,2020-04-02,0,1,0,0,1,4,1
Trinity,2020-04-02,0,0,0,0,0,0,0
Lassen,2020-04-02,0,7,0,0,0,0,7
Napa,2020-04-02,1,4,0,1,1,12,5
Los Angeles,2020-04-02,818,1270,0,346,193,488,2088
Humboldt,2020-04-02,1,8,0,0,2,8,9
Santa Clara,2020-04-02,163,101,0,69,19,95,264
San Mateo,2020-04-02,62,40,0,26,4,26,102
Siskiyou,2020-04-02,0,3,0,0,2,4,3
Glenn,2020-04-02,0,0,0,0,0,0,0
Sacramento,2020-04-02,71,92,0,24,19,80,163
Mono,2020-04-02,18,2,0,0,0,2,20
Del Norte,2020-04-02,0,3,0,0,0,2,3
Madera,2020-04-02,1,7,0,1,3,6,8
Tuolumne,2020-04-02,0,0,0,0,0,2,0
San Francisco,2020-04-02,75,60,0,32,11,58,135
El Dorado,2020-04-02,15,12,0,0,6,10,27
Calaveras,2020-04-02,0,1,0,0,0,5,1
Tulare,2020-04-02,4,26,0,4,5,3,30
Plumas,2020-04-02,0,0,0,0,0,0,0
Alameda,2020-04-02,57,76,0,29,17,112,133
San Luis Obispo,2020-04-02,5,5,0,4,4,966,10
Lake,2020-04-02,0,1,0,0,0,2,1
Contra Costa,2020-04-02,32,38,0,13,10,73,70
Modoc,2020-04-02,0,1,0,0,0,0,1
Yolo,2020-04-02,3,2,0,2,3,0,5
Monterey,2020-04-02,14,14,0,4,2,12,28
Ventura,2020-04-02,27,111,0,7,24,15,138
Butte,2020-04-02,4,26,0,2,2,12,30
Imperial,2020-04-02,4,16,0,3,5,6,20
Sonoma,2020-04-02,8,18,0,1,0,10,26
Santa Cruz,2020-04-02,4,4,0,3,0,7,8
Inyo,2020-04-02,8,102,0,0,1,3,110
Amador,2020-04-02,0,3,0,0,0,2,3
Yuba,2020-04-02,2,25,0,2,6,4,27
San Diego,2020-04-02,144,343,0,69,35,206,487
Orange,2020-04-02,129,225,0,67,47,96,354
San Benito,2020-04-02,2,0,0,2,0,0,2
Shasta,2020-04-02,2,4,0,1,0,10,6
San Bernardino,2020-04-02,126,185,0,50,45,37,311
Merced,2020-04-02,4,5,0,0,1,3,9
Kings,2020-04-02,2,6,0,1,1,7,8
Sutter,2020-04-02,0,0,0,0,0,0,0
Kern,2020-04-02,27,77,0,12,23,36,104
Stanislaus,2020-04-02,30,43,0,11,7,22,73
Colusa,2020-04-02,0,1,0,0,1,5,1
Nevada,2020-04-02,38,58,0,2,1,6,96
Mendocino,2020-04-02,0,1,0,0,0,8,1
San Joaquin,2020-04-02,42,42,0,20,7,17,84
Tulare,2020-04-03,6,15,0,5,2,3,21
Plumas,2020-04-03,0,0,0,0,0,0,0
Kings,2020-04-03,0,3,0,1,0,3,3
Tuolumne,2020-04-03,0,0,0,0,0,1,0
Mendocino,2020-04-03,0,5,0,0,1,6,5
Santa Clara,2020-04-03,164,83,0,71,17,97,247
Contra Costa,2020-04-03,31,39,0,15,10,75,70
Madera,2020-04-03,0,5,0,0,1,7,5
Humboldt,2020-04-03,1,7,0,0,0,10,8
San Mateo,2020-04-03,65,39,0,26,4,38,104
Stanislaus,2020-04-03,28,45,0,12,8,22,73
Orange,2020-04-03,131,182,0,66,36,151,313
Ventura,2020-04-03,22,116,0,6,28,56,138
Fresno,2020-04-03,15,81,0,7,16,35,96
Mariposa,2020-04-03,0,2,0,0,0,0,2
Napa,2020-04-03,1,9,0,0,1,9,10
San Bernardino,2020-04-03,118,204,0,44,53,57,322
Yuba,2020-04-03,2,12,0,2,2,5,14
Tehama,2020-04-03,0,0,0,0,0,8,0
Los Angeles,2020-04-03,962,1239,0,422,209,473,2201
Butte,2020-04-03,3,19,0,2,6,9,22
Inyo,2020-04-03,8,102,0,1,2,1,110
Kern,2020-04-03,35,73,0,12,16,47,108
Glenn,2020-04-03,0,0,0,0,0,0,0
Solano,2020-04-03,16,21,0,7,5,23,37
Sacramento,2020-04-03,77,76,0,28,17,76,153
Santa Cruz,2020-04-03,4,8,0,3,0,2,12
Alameda,2020-04-03,64,74,0,32,13,117,138
Placer,2020-04-03,21,23,0,10,1,7,44
Lassen,2020-04-03,0,3,0,0,0,0,3
Imperial,2020-04-03,9,7,0,7,0,5,16
Del Norte,2020-04-03,0,2,0,0,0,2,2
Merced,2020-04-03,4,5,0,1,1,4,9
Trinity,2020-04-03,0,0,0,0,0,0,0
Riverside,2020-04-03,105,182,0,44,59,127,287
Colusa,2020-04-03,1,0,0,1,0,5,1
San Joaquin,2020-04-03,41,38,0,18,8,22,79
San Francisco,2020-04-03,80,71,0,39,8,74,151
Sonoma,2020-04-03,6,24,0,2,3,15,30
El Dorado,2020-04-03,15,9,0,0,4,14,24
Monterey,2020-04-03,16,18,0,3,1,17,34
Modoc,2020-04-03,0,0,0,0,0,0,0
Amador,2020-04-03,0,0,0,0,0,1,0
Santa Barbara,2020-04-03,27,29,0,18,4,50,56
Shasta,2020-04-03,2,9,0,1,3,14,11
Calaveras,2020-04-03,0,1,0,0,0,5,1
San Luis Obispo,2020-04-03,4,5,0,3,2,967,9
Yolo,2020-04-03,2,7,0,3,6,4,9
Lake,2020-04-03,0,2,0,0,1,2,2
Sutter,2020-04-03,0,0,0,0,0,0,0
San Diego,2020-04-03,171,308,0,84,28,216,479
Siskiyou,2020-04-03,0,3,0,0,1,4,3
Nevada,2020-04-03,2,4,0,2,1,5,6
Mono,2020-04-03,18,2,0,0,0,2,20
Marin,2020-04-03,6,16,0,3,5,17,22
San Benito,2020-04-03,2,0,0,2,0,0,2
Mariposa,2020-04-04,0,2,0,0,0,0,2
San Luis Obispo,2020-04-04,4,6,0,3,3,954,10
Napa,2020-04-04,1,8,0,0,1,6,9
Yuba,2020-04-04,2,16,0,2,2,7,18
Yolo,2020-04-04,4,5,0,3,3,4,9
Tehama,2020-04-04,0,1,0,0,0,8,1
Riverside,2020-04-04,126,186,0,39,56,125,312
Madera,2020-04-04,0,4,0,0,0,8,4
Calaveras,2020-04-04,0,1,0,0,0,5,1
Sutter,2020-04-04,0,0,0,0,0,0,0
Alameda,2020-04-04,60,95,0,35,18,120,155
San Benito,2020-04-04,2,3,0,2,0,0,5
Nevada,2020-04-04,2,6,0,2,2,5,8
Siskiyou,2020-04-04,0,2,0,0,1,5,2
Monterey,2020-04-04,16,25,0,4,2,18,41
Santa Clara,2020-04-04,159,79,0,72,19,91,238
Marin,2020-04-04,5,16,0,3,5,12,21
Amador,2020-04-04,0,0,0,0,0,2,0
Contra Costa,2020-04-04,30,47,0,12,7,87,77
Ventura,2020-04-04,21,127,0,7,25,10,148
Sonoma,2020-04-04,7,16,0,2,6,15,23
Mono,2020-04-04,20,2,0,0,0,2,22
Solano,2020-04-04,16,19,0,7,2,23,35
Mendocino,2020-04-04,0,3,0,0,1,7,3
Tuolumne,2020-04-04,0,1,0,0,1,2,1
Modoc,2020-04-04,0,0,0,0,0,0,0
San Joaquin,2020-04-04,43,30,0,16,7,24,73
Santa Cruz,2020-04-04,4,6,0,3,0,7,10
Lassen,2020-04-04,0,0,0,0,0,0,0
Butte,2020-04-04,3,14,0,1,4,7,17
Del Norte,2020-04-04,0,2,0,0,0,1,2
Sacramento,2020-04-04,69,76,0,25,18,82,145
San Mateo,2020-04-04,66,19,0,25,6,40,85
Santa Barbara,2020-04-04,28,34,0,18,2,53,62
Plumas,2020-04-04,0,0,0,0,0,0,0
Kings,2020-04-04,1,9,0,1,0,0,10
Trinity,2020-04-04,0,0,0,0,0,0,0
Stanislaus,2020-04-04,30,45,0,12,9,26,75
Colusa,2020-04-04,1,0,0,1,0,5,1
Imperial,2020-04-04,9,10,0,5,2,5,19
Inyo,2020-04-04,8,106,0,1,1,2,114
Merced,2020-04-04,5,14,0,1,1,6,19
San Diego,2020-04-04,177,218,0,86,19,222,395
El Dorado,2020-04-04,15,9,0,0,3,12,24
Tulare,2020-04-04,8,20,0,5,1,6,28
San Bernardino,2020-04-04,138,254,0,51,66,67,392
Orange,2020-04-04,143,213,0,70,45,153,356
Glenn,2020-04-04,0,0,0,0,0,0,0
Lake,2020-04-04,0,4,0,0,1,4,4
Placer,2020-04-04,23,14,0,10,1,12,37
Humboldt,2020-04-04,1,4,0,0,0,7,5
Fresno,2020-04-04,14,93,0,7,20,36,107
Shasta,2020-04-04,2,10,0,4,0,13,12
Kern,2020-04-04,33,54,0,14,11,29,87
San Francisco,2020-04-04,80,65,0,37,7,79,145
Los Angeles,2020-04-04,1007,1190,0,449,181,537,2197
Mono,2020-04-05,20,2,0,0,0,2,22
Tuolumne,2020-04-05,0,0,0,0,0,4,0
Sonoma,2020-04-05,6,21,0,2,6,16,27
San Mateo,2020-04-05,69,15,0,24,6,36,84
Solano,2020-04-05,15,17,0,6,24,3,32
Lassen,2020-04-05,0,0,0,0,0,0,0
Tulare,2020-04-05,4,20,0,8,2,3,24
Mendocino,2020-04-05,0,3,0,0,2,4,3
Riverside,2020-04-05,129,207,0,47,60,130,336
Alameda,2020-04-05,72,87,0,39,13,113,159
San Francisco,2020-04-05,79,68,0,37,11,74,147
Calaveras,2020-04-05,0,0,0,0,0,6,0
Kings,2020-04-05,3,1,0,2,0,0,4
Mariposa,2020-04-05,0,2,0,0,0,0,2
Nevada,2020-04-05,2,4,0,2,1,3,6
San Luis Obispo,2020-04-05,2,11,0,2,9,28,13
Inyo,2020-04-05,9,106,0,1,0,3,115
Yolo,2020-04-05,3,6,0,3,3,4,9
San Diego,2020-04-05,179,220,0,89,31,247,399
Contra Costa,2020-04-05,29,35,0,15,10,74,64
Glenn,2020-04-05,0,0,0,0,0,0,0
Orange,2020-04-05,144,221,0,70,46,156,365
Los Angeles,2020-04-05,1094,1082,0,473,166,554,2176
Marin,2020-04-05,5,15,0,3,5,13,20
Madera,2020-04-05,0,1,0,0,0,8,1
Butte,2020-04-05,2,16,0,1,6,10,18
Santa Cruz,2020-04-05,5,12,0,4,4,10,17
El Dorado,2020-04-05,16,6,0,0,3,7,22
Sutter,2020-04-05,0,0,0,0,0,0,0
Napa,2020-04-05,1,8,0,0,1,11,9
Imperial,2020-04-05,9,9,0,8,1,3,18
Plumas,2020-04-05,0,0,0,0,0,0,0
Siskiyou,2020-04-05,0,2,0,0,2,3,2
Modoc,2020-04-05,0,0,0,0,0,0,0
Monterey,2020-04-05,16,15,0,4,0,23,31
Del Norte,2020-04-05,0,1,0,0,0,1,1
San Bernardino,2020-04-05,146,240,0,59,54,70,386
Fresno,2020-04-05,16,81,0,8,15,39,97
Shasta,2020-04-05,8,11,0,4,0,13,19
Trinity,2020-04-05,0,0,0,0,0,0,0
Merced,2020-04-05,15,10,0,1,3,8,25
Lake,2020-04-05,0,4,0,0,2,3,4
San Joaquin,2020-04-05,46,24,0,17,4,19,70
Stanislaus,2020-04-05,30,25,0,14,5,30,55
Placer,2020-04-05,23,13,0,10,1,10,36
Amador,2020-04-05,0,0,0,0,0,2,0
Ventura,2020-04-05,21,128,0,7,28,12,149
Kern,2020-04-05,23,27,0,12,4,40,50
Tehama,2020-04-05,0,1,0,0,0,5,1
Sacramento,2020-04-05,64,78,0,23,26,82,142
Santa Clara,2020-04-05,166,69,0,68,18,90,235
Humboldt,2020-04-05,2,3,0,0,0,8,5
San Benito,2020-04-05,3,0,0,2,0,0,3
Santa Barbara,2020-04-05,31,26,0,18,2,59,57
Colusa,2020-04-05,1,0,0,1,0,5,1
Yuba,2020-04-05,1,14,0,1,1,10,15
Inyo,2020-04-06,9,114,0,1,0,3,123
San Joaquin,2020-04-06,31,32,0,14,3,20,63
Alameda,2020-04-06,79,70,0,43,19,92,149
Yuba,2020-04-06,1,19,0,1,3,7,20
Yolo,2020-04-06,4,0,0,3,4,-3,4
Colusa,2020-04-06,0,0,0,0,0,6,0
Modoc,2020-04-06,0,0,0,0,0,0,0
San Mateo,2020-04-06,68,20,0,25,5,36,88
Fresno,2020-04-06,18,81,0,11,20,45,99
Plumas,2020-04-06,0,0,0,0,0,0,0
San Benito,2020-04-06,3,3,0,2,0,0,6
Santa Barbara,2020-04-06,34,26,0,19,5,54,60
Solano,2020-04-06,15,21,0,6,6,28,36
Riverside,2020-04-06,129,193,0,46,65,152,322
San Luis Obispo,2020-04-06,2,3,0,2,2,42,5
Tulare,2020-04-06,12,24,0,8,3,16,36
Del Norte,2020-04-06,0,3,0,0,0,0,3
Tuolumne,2020-04-06,0,0,0,0,0,0,0
Merced,2020-04-06,4,2,0,0,2,4,6
Stanislaus,2020-04-06,28,28,0,12,4,37,56
Los Angeles,2020-04-06,1166,1070,0,486,175,587,2236
Ventura,2020-04-06,22,106,0,9,20,32,128
Calaveras,2020-04-06,0,0,0,0,0,6,0
Kings,2020-04-06,3,3,0,2,0,3,6
Sutter,2020-04-06,0,0,0,0,0,0,0
Santa Cruz,2020-04-06,5,9,0,4,2,5,14
Shasta,2020-04-06,6,3,0,2,2,28,9
Sonoma,2020-04-06,6,18,0,2,4,20,24
Imperial,2020-04-06,9,14,0,7,2,3,23
Monterey,2020-04-06,16,15,0,5,1,18,31
Amador,2020-04-06,0,0,0,0,0,2,0
Lake,2020-04-06,0,8,0,0,2,1,8
Napa,2020-04-06,0,7,0,0,0,15,7
Sacramento,2020-04-06,77,78,0,26,19,75,155
Butte,2020-04-06,1,15,0,1,5,9,16
San Francisco,2020-04-06,80,71,0,34,9,71,151
Siskiyou,2020-04-06,0,0,0,0,0,5,0
Mendocino,2020-04-06,0,2,0,0,2,10,2
Lassen,2020-04-06,0,0,0,0,0,0,0
Mono,2020-04-06,20,2,0,0,0,2,22
Contra Costa,2020-04-06,30,28,0,15,11,78,58
San Bernardino,2020-04-06,148,185,0,60,43,102,333
Humboldt,2020-04-06,3,12,0,0,3,2,15
Santa Clara,2020-04-06,181,49,0,79,10,100,230
Placer,2020-04-06,20,12,0,10,1,24,32
Madera,2020-04-06,0,2,0,0,1,8,2
Trinity,2020-04-06,0,0,0,0,0,0,0
Tehama,2020-04-06,0,0,0,0,0,4,0
El Dorado,2020-04-06,16,1,0,0,0,10,17
Kern,2020-04-06,24,36,0,12,5,39,60
San Diego,2020-04-06,187,224,0,83,25,270,411
Mariposa,2020-04-06,0,3,0,0,0,0,3
Marin,2020-04-06,8,8,0,4,4,13,16
Glenn,2020-04-06,0,0,0,0,0,0,0
Orange,2020-04-06,145,171,0,73,33,134,316
Nevada,2020-04-06,1,5,0,1,2,4,6
San Luis Obispo,2020-04-07,2,5,0,2,4,30,7
Sacramento,2020-04-07,74,91,0,28,18,72,165
Santa Clara,2020-04-07,187,47,0,77,7,105,234
Mono,2020-04-07,20,2,0,0,0,2,22
Imperial,2020-04-07,9,14,0,7,2,3,23
Ventura,2020-04-07,22,68,0,9,20,31,90
Calaveras,2020-04-07,0,1,0,0,0,8,1
Madera,2020-04-07,0,3,0,0,1,7,3
Inyo,2020-04-07,9,121,0,1,0,3,130
Trinity,2020-04-07,0,0,0,0,0,0,0
Colusa,2020-04-07,0,0,0,0,0,6,0
Plumas,2020-04-07,0,1,0,0,0,0,1
Sutter,2020-04-07,0,0,0,0,0,0,0
Merced,2020-04-07,3,3,0,0,3,3,6
Napa,2020-04-07,0,5,0,0,3,7,5
Kern,2020-04-07,28,91,0,14,13,50,119
Tulare,2020-04-07,8,23,0,5,6,10,31
Riverside,2020-04-07,129,207,0,57,57,129,336
Glenn,2020-04-07,0,0,0,0,0,0,0
San Mateo,2020-04-07,63,13,0,26,2,35,76
Sonoma,2020-04-07,6,28,0,2,6,21,34
Marin,2020-04-07,6,5,0,4,4,12,11
Nevada,2020-04-07,1,4,0,1,2,3,5
